Epoch(1)   step-time 39.18s  loss 15049.354 ppl 4630.72
Epoch(2)   step-time 17.81s  loss 7599.580 ppl 4603.66
Epoch(3)   step-time 11.82s  loss 5230.417 ppl 4892.87
Epoch(4)   step-time 9.85s  loss 3760.802 ppl 4486.04
Epoch(5)   step-time 8.00s  loss 3058.885 ppl 4483.46
Epoch(6)   step-time 6.33s  loss 2553.192 ppl 4482.23
Epoch(7)   step-time 5.64s  loss 2129.763 ppl 4637.21
Epoch(8)   step-time 4.92s  loss 1909.355 ppl 4756.22
Epoch(9)   step-time 4.39s  loss 1672.647 ppl 4708.88
Epoch(10)   step-time 3.84s  loss 1516.413 ppl 4732.10
Epoch(11)   step-time 3.52s  loss 1385.470 ppl 4558.00
Epoch(12)   step-time 3.22s  loss 1277.118 ppl 4667.64
Epoch(13)   step-time 3.08s  loss 1151.754 ppl 4629.17
Epoch(14)   step-time 2.81s  loss 1080.572 ppl 4466.90
Epoch(15)   step-time 2.54s  loss 1014.736 ppl 4489.13
Epoch(16)   step-time 2.55s  loss 953.705 ppl 4417.99
Epoch(17)   step-time 2.11s  loss 882.953 ppl 4466.55
Epoch(18)   step-time 2.14s  loss 844.403 ppl 4435.41
Epoch(19)   step-time 2.09s  loss 795.194 ppl 4337.74
Epoch(20)   step-time 1.86s  loss 751.330 ppl 4529.03
Epoch(21)   step-time 1.87s  loss 717.828 ppl 4396.83
Epoch(22)   step-time 1.62s  loss 685.357 ppl 4384.79
Epoch(23)   step-time 1.57s  loss 655.901 ppl 4282.86
Epoch(24)   step-time 1.50s  loss 634.323 ppl 4273.15
Epoch(25)   step-time 1.43s  loss 590.185 ppl 4270.81
Epoch(26)   step-time 1.37s  loss 589.085 ppl 4254.86
Epoch(27)   step-time 1.32s  loss 552.499 ppl 4162.15
Epoch(28)   step-time 1.27s  loss 535.329 ppl 4154.56
Epoch(29)   step-time 1.24s  loss 502.906 ppl 4222.49
Epoch(30)   step-time 1.18s  loss 500.202 ppl 4174.27
Epoch(31)   step-time 1.14s  loss 484.701 ppl 4181.22
Epoch(32)   step-time 1.11s  loss 468.748 ppl 4102.81
Epoch(33)   step-time 1.11s  loss 443.312 ppl 3959.48
Epoch(34)   step-time 1.05s  loss 437.350 ppl 3997.01
Epoch(35)   step-time 1.01s  loss 431.681 ppl 4142.34
Epoch(36)   step-time 1.00s  loss 414.442 ppl 3835.92
Epoch(37)   step-time 0.95s  loss 401.824 ppl 3991.65
Epoch(38)   step-time 0.94s  loss 398.562 ppl 3893.71
Epoch(39)   step-time 0.91s  loss 386.520 ppl 3813.57
Epoch(40)   step-time 0.88s  loss 367.439 ppl 3908.88
Epoch(41)   step-time 0.86s  loss 369.030 ppl 3932.15
Epoch(42)   step-time 0.84s  loss 358.332 ppl 3797.24
Epoch(43)   step-time 0.87s  loss 343.986 ppl 3861.22
Epoch(44)   step-time 0.80s  loss 337.506 ppl 3657.58
Epoch(45)   step-time 0.83s  loss 326.080 ppl 3838.59
Epoch(46)   step-time 0.77s  loss 322.041 ppl 3700.61
Epoch(47)   step-time 0.75s  loss 322.899 ppl 3752.11
Epoch(48)   step-time 0.74s  loss 303.689 ppl 3669.45
Epoch(49)   step-time 0.72s  loss 306.859 ppl 3651.91
Epoch(50)   step-time 0.71s  loss 294.261 ppl 3662.26
Epoch(51)   step-time 0.70s  loss 293.080 ppl 3605.33
Epoch(52)   step-time 0.68s  loss 274.411 ppl 3526.07
Epoch(53)   step-time 0.69s  loss 281.436 ppl 3674.54
Epoch(54)   step-time 0.66s  loss 271.484 ppl 3588.37
Epoch(55)   step-time 0.64s  loss 264.583 ppl 3487.62
Epoch(56)   step-time 0.63s  loss 259.484 ppl 3526.72
Epoch(57)   step-time 0.62s  loss 255.465 ppl 3350.20
Epoch(58)   step-time 0.61s  loss 250.064 ppl 3457.04
Epoch(59)   step-time 0.60s  loss 252.429 ppl 3438.74
Epoch(60)   step-time 0.59s  loss 239.416 ppl 3408.98
Epoch(61)   step-time 0.60s  loss 240.103 ppl 3372.12
Epoch(62)   step-time 0.57s  loss 238.551 ppl 3397.98
Epoch(63)   step-time 0.58s  loss 235.211 ppl 3359.70
Epoch(64)   step-time 0.55s  loss 224.055 ppl 3344.83
Epoch(65)   step-time 0.54s  loss 224.583 ppl 3297.57
Epoch(66)   step-time 0.54s  loss 221.363 ppl 3188.60
Epoch(67)   step-time 0.53s  loss 214.792 ppl 3304.66
Epoch(68)   step-time 0.52s  loss 212.749 ppl 3192.56
Epoch(69)   step-time 0.51s  loss 212.276 ppl 3197.08
Epoch(70)   step-time 0.51s  loss 209.129 ppl 3225.78
Epoch(71)   step-time 0.50s  loss 205.892 ppl 3091.65
Epoch(72)   step-time 0.49s  loss 205.144 ppl 3201.08
Epoch(73)   step-time 0.51s  loss 203.509 ppl 3154.13
Epoch(74)   step-time 0.48s  loss 197.647 ppl 3188.19
Epoch(75)   step-time 0.47s  loss 190.603 ppl 3061.06
Epoch(76)   step-time 0.46s  loss 187.330 ppl 3030.13
Epoch(77)   step-time 0.46s  loss 188.076 ppl 2970.84
Epoch(78)   step-time 0.46s  loss 188.564 ppl 3026.73
Epoch(79)   step-time 0.45s  loss 178.913 ppl 2991.33
Epoch(80)   step-time 0.44s  loss 178.108 ppl 3009.04
Epoch(81)   step-time 0.44s  loss 179.707 ppl 3041.16
Epoch(82)   step-time 0.44s  loss 175.499 ppl 2926.81
Epoch(83)   step-time 0.44s  loss 175.408 ppl 3018.74
Epoch(84)   step-time 0.42s  loss 170.375 ppl 2980.12
Epoch(85)   step-time 0.42s  loss 169.195 ppl 2873.38
Epoch(86)   step-time 0.41s  loss 165.674 ppl 2927.94
Epoch(87)   step-time 0.41s  loss 163.440 ppl 2855.75
Epoch(88)   step-time 0.40s  loss 162.894 ppl 2874.72
Epoch(89)   step-time 0.40s  loss 163.506 ppl 2853.40
Epoch(90)   step-time 0.39s  loss 156.607 ppl 2847.18
Epoch(91)   step-time 0.39s  loss 157.068 ppl 2872.06
Epoch(92)   step-time 0.39s  loss 153.783 ppl 2843.52
Epoch(93)   step-time 0.38s  loss 153.138 ppl 2754.31
Epoch(94)   step-time 0.37s  loss 149.613 ppl 2797.83
Epoch(95)   step-time 0.37s  loss 149.005 ppl 2743.41
Epoch(96)   step-time 0.38s  loss 149.221 ppl 2724.69
Epoch(97)   step-time 0.36s  loss 147.396 ppl 2671.52
Epoch(98)   step-time 0.36s  loss 143.680 ppl 2665.90
Epoch(99)   step-time 0.36s  loss 142.734 ppl 2646.62
Epoch(100)   step-time 0.35s  loss 142.988 ppl 2604.85
Epoch(101)   step-time 0.35s  loss 140.042 ppl 2643.35
Epoch(102)   step-time 0.36s  loss 139.784 ppl 2613.95
Epoch(103)   step-time 0.34s  loss 137.234 ppl 2664.88
Epoch(104)   step-time 0.34s  loss 137.150 ppl 2588.18
Epoch(105)   step-time 0.36s  loss 134.733 ppl 2556.37
Epoch(106)   step-time 0.33s  loss 134.028 ppl 2666.19
Epoch(107)   step-time 0.33s  loss 132.535 ppl 2473.40
Epoch(108)   step-time 0.33s  loss 130.275 ppl 2502.85
Epoch(109)   step-time 0.33s  loss 129.222 ppl 2513.62
Epoch(110)   step-time 0.32s  loss 128.896 ppl 2438.17
Epoch(111)   step-time 0.32s  loss 126.701 ppl 2527.53
Epoch(112)   step-time 0.32s  loss 123.324 ppl 2385.52
Epoch(113)   step-time 0.31s  loss 121.880 ppl 2437.35
Epoch(114)   step-time 0.32s  loss 124.312 ppl 2449.73
Epoch(115)   step-time 0.31s  loss 122.713 ppl 2474.86
Epoch(116)   step-time 0.30s  loss 120.743 ppl 2395.11
Epoch(117)   step-time 0.30s  loss 122.290 ppl 2413.23
Epoch(118)   step-time 0.30s  loss 117.811 ppl 2339.35
Epoch(119)   step-time 0.31s  loss 119.402 ppl 2325.49
Epoch(120)   step-time 0.30s  loss 116.711 ppl 2293.32
Epoch(121)   step-time 0.30s  loss 117.613 ppl 2314.50
Epoch(122)   step-time 0.30s  loss 114.289 ppl 2302.91
Epoch(123)   step-time 0.29s  loss 114.032 ppl 2232.37
Epoch(124)   step-time 0.29s  loss 114.502 ppl 2244.93
Epoch(125)   step-time 0.28s  loss 109.117 ppl 2231.27
Epoch(126)   step-time 0.28s  loss 112.645 ppl 2267.24
Epoch(127)   step-time 0.28s  loss 108.950 ppl 2265.81
Epoch(128)   step-time 0.28s  loss 106.972 ppl 2163.35
Epoch(129)   step-time 0.28s  loss 106.994 ppl 2175.43
Epoch(130)   step-time 0.27s  loss 104.885 ppl 2149.74
Epoch(131)   step-time 0.28s  loss 106.840 ppl 2168.23
Epoch(132)   step-time 0.27s  loss 104.284 ppl 2149.64
Epoch(133)   step-time 0.27s  loss 103.956 ppl 2112.67
Epoch(134)   step-time 0.27s  loss 100.934 ppl 2118.94
Epoch(135)   step-time 0.26s  loss 103.176 ppl 2143.18
Epoch(136)   step-time 0.26s  loss 100.208 ppl 2105.00
Epoch(137)   step-time 0.26s  loss 99.801 ppl 2041.34
Epoch(138)   step-time 0.26s  loss 101.863 ppl 2044.96
Epoch(139)   step-time 0.25s  loss 98.476 ppl 2067.78
Epoch(140)   step-time 0.26s  loss 98.176 ppl 2045.05
Epoch(141)   step-time 0.26s  loss 94.765 ppl 1990.75
Epoch(142)   step-time 0.25s  loss 95.735 ppl 2012.98
Epoch(143)   step-time 0.25s  loss 96.311 ppl 1958.16
Epoch(144)   step-time 0.25s  loss 93.392 ppl 1952.02
Epoch(145)   step-time 0.24s  loss 95.630 ppl 1961.29
Epoch(146)   step-time 0.24s  loss 94.965 ppl 1951.62
Epoch(147)   step-time 0.24s  loss 93.147 ppl 1961.98
Epoch(148)   step-time 0.24s  loss 93.822 ppl 1901.92
Epoch(149)   step-time 0.24s  loss 89.901 ppl 1878.32
Epoch(150)   step-time 0.24s  loss 91.883 ppl 1896.68
Epoch(151)   step-time 0.24s  loss 87.363 ppl 1870.41
Epoch(152)   step-time 0.24s  loss 88.299 ppl 1789.46
Epoch(153)   step-time 0.23s  loss 88.500 ppl 1796.07
Epoch(154)   step-time 0.23s  loss 86.846 ppl 1825.15
Epoch(155)   step-time 0.23s  loss 88.082 ppl 1766.58
Epoch(156)   step-time 0.23s  loss 85.705 ppl 1790.42
Epoch(157)   step-time 0.23s  loss 84.792 ppl 1770.16
Epoch(158)   step-time 0.23s  loss 85.993 ppl 1753.66
Epoch(159)   step-time 0.22s  loss 83.713 ppl 1760.81
Epoch(160)   step-time 0.22s  loss 84.660 ppl 1749.79
Epoch(161)   step-time 0.23s  loss 85.159 ppl 1743.36
Epoch(162)   step-time 0.22s  loss 81.547 ppl 1693.01
Epoch(163)   step-time 0.22s  loss 83.379 ppl 1666.60
Epoch(164)   step-time 0.22s  loss 80.804 ppl 1654.98
Epoch(165)   step-time 0.21s  loss 81.632 ppl 1643.80
Epoch(166)   step-time 0.21s  loss 79.001 ppl 1630.50
Epoch(167)   step-time 0.22s  loss 78.852 ppl 1612.45
Epoch(168)   step-time 0.21s  loss 80.893 ppl 1613.06
Epoch(169)   step-time 0.21s  loss 79.140 ppl 1573.17
Epoch(170)   step-time 0.21s  loss 78.126 ppl 1594.82
Epoch(171)   step-time 0.21s  loss 78.583 ppl 1557.81
Epoch(172)   step-time 0.21s  loss 76.381 ppl 1552.48
Epoch(173)   step-time 0.20s  loss 77.538 ppl 1556.47
Epoch(174)   step-time 0.20s  loss 75.754 ppl 1564.85
Epoch(175)   step-time 0.20s  loss 74.256 ppl 1517.99
Epoch(176)   step-time 0.20s  loss 74.572 ppl 1450.09
Epoch(177)   step-time 0.20s  loss 75.249 ppl 1483.48
Epoch(178)   step-time 0.20s  loss 73.212 ppl 1505.89
Epoch(179)   step-time 0.20s  loss 72.842 ppl 1462.99
Epoch(180)   step-time 0.20s  loss 72.536 ppl 1453.76
Epoch(181)   step-time 0.20s  loss 72.036 ppl 1445.16
Epoch(182)   step-time 0.20s  loss 70.822 ppl 1442.35
Epoch(183)   step-time 0.19s  loss 70.538 ppl 1393.69
Epoch(184)   step-time 0.19s  loss 69.371 ppl 1405.69
Epoch(185)   step-time 0.20s  loss 70.872 ppl 1388.27
Epoch(186)   step-time 0.19s  loss 70.931 ppl 1378.96
Epoch(187)   step-time 0.19s  loss 69.775 ppl 1351.26
Epoch(188)   step-time 0.19s  loss 69.435 ppl 1355.71
Epoch(189)   step-time 0.19s  loss 68.575 ppl 1345.29
Epoch(190)   step-time 0.20s  loss 68.448 ppl 1319.74
