Epoch(1)   step-time 9.25s  loss 3765.242 ppl 5204.97
Epoch(2)   step-time 2.47s  loss 1933.206 ppl 5820.18
Epoch(3)   step-time 1.71s  loss 1360.268 ppl 5583.08
Epoch(4)   step-time 1.23s  loss 943.150 ppl 4806.63
Epoch(5)   step-time 0.99s  loss 734.363 ppl 4723.95
Epoch(6)   step-time 0.82s  loss 624.695 ppl 5205.50
Epoch(7)   step-time 0.70s  loss 555.071 ppl 5411.24
Epoch(8)   step-time 0.63s  loss 454.943 ppl 4559.04
Epoch(9)   step-time 0.54s  loss 425.901 ppl 4729.67
Epoch(10)   step-time 0.49s  loss 387.161 ppl 4867.69
Epoch(11)   step-time 0.46s  loss 362.181 ppl 4391.19
Epoch(12)   step-time 0.41s  loss 324.789 ppl 4782.64
Epoch(13)   step-time 0.38s  loss 283.602 ppl 4525.21
Epoch(14)   step-time 0.35s  loss 271.816 ppl 4449.30
Epoch(15)   step-time 0.33s  loss 265.949 ppl 4439.89
Epoch(16)   step-time 0.32s  loss 265.585 ppl 4825.85
Epoch(17)   step-time 0.29s  loss 234.432 ppl 4403.66
Epoch(18)   step-time 0.28s  loss 219.371 ppl 4700.54
Epoch(19)   step-time 0.26s  loss 198.417 ppl 4514.37
Epoch(20)   step-time 0.24s  loss 200.940 ppl 4402.74
Epoch(21)   step-time 0.24s  loss 201.165 ppl 4592.04
Epoch(22)   step-time 0.22s  loss 169.225 ppl 4914.09
Epoch(23)   step-time 0.21s  loss 146.993 ppl 4587.29
Epoch(24)   step-time 0.21s  loss 158.797 ppl 4263.09
Epoch(25)   step-time 0.20s  loss 145.475 ppl 5000.39
Epoch(26)   step-time 0.19s  loss 147.123 ppl 4396.59
Epoch(27)   step-time 0.18s  loss 137.059 ppl 4493.64
Epoch(28)   step-time 0.17s  loss 129.198 ppl 4417.72
Epoch(29)   step-time 0.17s  loss 132.980 ppl 4374.46
Epoch(30)   step-time 0.16s  loss 120.642 ppl 4612.39
Epoch(31)   step-time 0.16s  loss 124.157 ppl 4546.22
Epoch(32)   step-time 0.15s  loss 123.255 ppl 4827.35
Epoch(33)   step-time 0.15s  loss 105.661 ppl 4194.97
Epoch(34)   step-time 0.16s  loss 118.056 ppl 4065.64
Epoch(35)   step-time 0.14s  loss 107.805 ppl 4299.32
Epoch(36)   step-time 0.14s  loss 103.754 ppl 4503.04
Epoch(37)   step-time 0.14s  loss 101.219 ppl 4351.67
Epoch(38)   step-time 0.13s  loss 104.115 ppl 4291.61
Epoch(39)   step-time 0.13s  loss 87.556 ppl 4225.35
Epoch(40)   step-time 0.12s  loss 91.002 ppl 4145.30
Epoch(41)   step-time 0.12s  loss 89.652 ppl 4412.14
Epoch(42)   step-time 0.12s  loss 79.108 ppl 3966.40
Epoch(43)   step-time 0.12s  loss 86.784 ppl 3921.79
Epoch(44)   step-time 0.11s  loss 87.183 ppl 3693.21
Epoch(45)   step-time 0.12s  loss 88.708 ppl 4161.86
Epoch(46)   step-time 0.11s  loss 80.757 ppl 4142.94
Epoch(47)   step-time 0.10s  loss 78.339 ppl 3778.07
Epoch(48)   step-time 0.10s  loss 79.328 ppl 4079.99
Epoch(49)   step-time 0.10s  loss 73.570 ppl 3972.54
Epoch(50)   step-time 0.10s  loss 78.690 ppl 4244.90
Epoch(51)   step-time 0.10s  loss 71.416 ppl 3652.69
Epoch(52)   step-time 0.10s  loss 71.867 ppl 3757.13
Epoch(53)   step-time 0.09s  loss 70.650 ppl 3818.93
Epoch(54)   step-time 0.09s  loss 72.246 ppl 3753.90
Epoch(55)   step-time 0.09s  loss 70.532 ppl 4051.25
Epoch(56)   step-time 0.09s  loss 65.393 ppl 3748.75
Epoch(57)   step-time 0.09s  loss 66.530 ppl 3943.85
Epoch(58)   step-time 0.08s  loss 66.212 ppl 3598.51
Epoch(59)   step-time 0.08s  loss 66.467 ppl 3917.89
Epoch(60)   step-time 0.08s  loss 62.918 ppl 3665.25
Epoch(61)   step-time 0.08s  loss 58.764 ppl 3791.29
Epoch(62)   step-time 0.08s  loss 59.352 ppl 3975.27
Epoch(63)   step-time 0.08s  loss 58.285 ppl 3562.04
Epoch(64)   step-time 0.08s  loss 55.965 ppl 3627.22
Epoch(65)   step-time 0.08s  loss 57.350 ppl 3550.74
Epoch(66)   step-time 0.07s  loss 55.929 ppl 3336.81
Epoch(67)   step-time 0.09s  loss 56.626 ppl 3494.87
Epoch(68)   step-time 0.07s  loss 58.043 ppl 3539.14
Epoch(69)   step-time 0.07s  loss 55.885 ppl 3297.83
Epoch(70)   step-time 0.07s  loss 50.186 ppl 3466.29
Epoch(71)   step-time 0.07s  loss 50.521 ppl 3407.40
Epoch(72)   step-time 0.07s  loss 50.639 ppl 3616.60
Epoch(73)   step-time 0.07s  loss 49.801 ppl 3284.20
Epoch(74)   step-time 0.07s  loss 50.035 ppl 3610.57
Epoch(75)   step-time 0.07s  loss 45.125 ppl 3220.42
Epoch(76)   step-time 0.07s  loss 48.486 ppl 3600.10
Epoch(77)   step-time 0.06s  loss 44.975 ppl 3392.64
Epoch(78)   step-time 0.06s  loss 42.538 ppl 3144.30
Epoch(79)   step-time 0.06s  loss 42.409 ppl 3085.08
Epoch(80)   step-time 0.06s  loss 47.084 ppl 3353.89
