Epoch(1)   step-time 10.02s  loss 3764.778 ppl 5736.83
Epoch(2)   step-time 3.11s  loss 1993.031 ppl 6502.06
Epoch(3)   step-time 2.01s  loss 1316.010 ppl 4867.75
Epoch(4)   step-time 1.56s  loss 945.462 ppl 5966.44
Epoch(5)   step-time 1.21s  loss 840.655 ppl 6017.52
Epoch(6)   step-time 1.02s  loss 632.489 ppl 5252.40
Epoch(7)   step-time 0.86s  loss 550.365 ppl 5752.72
Epoch(8)   step-time 0.77s  loss 429.624 ppl 5276.68
Epoch(9)   step-time 0.67s  loss 405.859 ppl 4986.71
Epoch(10)   step-time 0.60s  loss 371.283 ppl 5622.22
Epoch(11)   step-time 0.56s  loss 362.347 ppl 5089.55
Epoch(12)   step-time 0.50s  loss 327.413 ppl 4672.13
Epoch(13)   step-time 0.48s  loss 303.927 ppl 4899.45
Epoch(14)   step-time 0.43s  loss 289.869 ppl 5133.30
Epoch(15)   step-time 0.41s  loss 250.419 ppl 5100.03
Epoch(16)   step-time 0.38s  loss 212.779 ppl 4763.78
Epoch(17)   step-time 0.37s  loss 231.162 ppl 4513.85
Epoch(18)   step-time 0.34s  loss 209.618 ppl 4812.28
Epoch(19)   step-time 0.33s  loss 204.954 ppl 4661.69
Epoch(20)   step-time 0.30s  loss 192.236 ppl 4852.42
Epoch(21)   step-time 0.29s  loss 180.724 ppl 4687.06
Epoch(22)   step-time 0.27s  loss 157.533 ppl 4500.65
Epoch(23)   step-time 0.27s  loss 159.836 ppl 4416.99
Epoch(24)   step-time 0.25s  loss 159.045 ppl 4651.20
Epoch(25)   step-time 0.25s  loss 155.066 ppl 4570.98
Epoch(26)   step-time 0.24s  loss 141.555 ppl 5214.15
Epoch(27)   step-time 0.23s  loss 138.647 ppl 4418.04
Epoch(28)   step-time 0.22s  loss 148.018 ppl 4713.38
Epoch(29)   step-time 0.21s  loss 128.634 ppl 4540.38
Epoch(30)   step-time 0.21s  loss 122.551 ppl 4775.46
Epoch(31)   step-time 0.20s  loss 116.905 ppl 4664.32
Epoch(32)   step-time 0.19s  loss 114.239 ppl 5020.60
Epoch(33)   step-time 0.18s  loss 119.362 ppl 4521.14
Epoch(34)   step-time 0.18s  loss 103.783 ppl 4453.65
Epoch(35)   step-time 0.17s  loss 108.723 ppl 4448.09
Epoch(36)   step-time 0.17s  loss 102.140 ppl 4425.23
Epoch(37)   step-time 0.16s  loss 109.947 ppl 4547.84
Epoch(38)   step-time 0.16s  loss 103.597 ppl 4189.81
Epoch(39)   step-time 0.15s  loss 99.339 ppl 4464.76
Epoch(40)   step-time 0.16s  loss 94.613 ppl 4576.80
Epoch(41)   step-time 0.15s  loss 93.070 ppl 4307.74
