Epoch(1)   step-time 10.00s  loss 3539.853 ppl 4667.30
Epoch(2)   step-time 3.00s  loss 1925.239 ppl 5301.13
Epoch(3)   step-time 1.97s  loss 1341.786 ppl 4790.72
Epoch(4)   step-time 1.45s  loss 943.006 ppl 4621.77
Epoch(5)   step-time 1.17s  loss 767.523 ppl 4867.31
Epoch(6)   step-time 0.99s  loss 634.470 ppl 4995.93
Epoch(7)   step-time 0.84s  loss 521.976 ppl 4805.73
Epoch(8)   step-time 0.77s  loss 479.872 ppl 4531.47
Epoch(9)   step-time 0.65s  loss 406.597 ppl 4964.98
Epoch(10)   step-time 0.60s  loss 393.293 ppl 4544.62
Epoch(11)   step-time 0.53s  loss 358.826 ppl 5039.25
Epoch(12)   step-time 0.50s  loss 314.161 ppl 5260.79
Epoch(13)   step-time 0.46s  loss 312.775 ppl 4529.51
Epoch(14)   step-time 0.43s  loss 270.351 ppl 5134.91
Epoch(15)   step-time 0.39s  loss 240.730 ppl 4705.76
Epoch(16)   step-time 0.37s  loss 243.036 ppl 4283.59
Epoch(17)   step-time 0.34s  loss 225.376 ppl 4539.86
Epoch(18)   step-time 0.33s  loss 202.893 ppl 4602.56
Epoch(19)   step-time 0.31s  loss 199.276 ppl 5052.19
Epoch(20)   step-time 0.29s  loss 192.023 ppl 4463.28
Epoch(21)   step-time 0.28s  loss 168.337 ppl 4614.51
Epoch(22)   step-time 0.27s  loss 162.151 ppl 4248.68
Epoch(23)   step-time 0.29s  loss 157.450 ppl 4544.84
Epoch(24)   step-time 0.25s  loss 159.913 ppl 4520.94
Epoch(25)   step-time 0.24s  loss 149.383 ppl 4330.75
Epoch(26)   step-time 0.23s  loss 144.108 ppl 4622.74
Epoch(27)   step-time 0.21s  loss 147.566 ppl 4718.37
Epoch(28)   step-time 0.21s  loss 138.344 ppl 4223.14
Epoch(29)   step-time 0.21s  loss 121.066 ppl 4444.05
Epoch(30)   step-time 0.19s  loss 126.213 ppl 3965.14
Epoch(31)   step-time 0.19s  loss 130.779 ppl 4418.96
Epoch(32)   step-time 0.18s  loss 126.928 ppl 4189.05
Epoch(33)   step-time 0.20s  loss 113.259 ppl 4278.81
Epoch(34)   step-time 0.17s  loss 105.758 ppl 4366.82
Epoch(35)   step-time 0.17s  loss 98.315 ppl 4238.54
Epoch(36)   step-time 0.16s  loss 107.685 ppl 4175.30
Epoch(37)   step-time 0.19s  loss 97.056 ppl 4235.82
Epoch(38)   step-time 0.15s  loss 97.982 ppl 4068.19
Epoch(39)   step-time 0.15s  loss 96.223 ppl 4426.01
Epoch(40)   step-time 0.15s  loss 98.249 ppl 4515.61
Epoch(41)   step-time 0.14s  loss 93.753 ppl 3890.99
Epoch(42)   step-time 0.14s  loss 87.725 ppl 3942.78
Epoch(43)   step-time 0.14s  loss 84.289 ppl 4235.22
Epoch(44)   step-time 0.13s  loss 86.843 ppl 3978.76
Epoch(45)   step-time 0.13s  loss 78.125 ppl 4317.87
Epoch(46)   step-time 0.13s  loss 82.438 ppl 3670.72
Epoch(47)   step-time 0.12s  loss 84.540 ppl 3802.81
Epoch(48)   step-time 0.13s  loss 76.446 ppl 3812.01
Epoch(49)   step-time 0.12s  loss 79.130 ppl 4181.62
Epoch(50)   step-time 0.12s  loss 77.808 ppl 3605.87
Epoch(51)   step-time 0.12s  loss 72.634 ppl 3828.34
Epoch(52)   step-time 0.12s  loss 74.015 ppl 4075.44
Epoch(53)   step-time 0.11s  loss 68.433 ppl 3946.85
Epoch(54)   step-time 0.11s  loss 65.793 ppl 3801.94
Epoch(55)   step-time 0.11s  loss 65.929 ppl 4014.55
Epoch(56)   step-time 0.11s  loss 68.042 ppl 3495.58
Epoch(57)   step-time 0.10s  loss 64.277 ppl 3627.90
Epoch(58)   step-time 0.10s  loss 57.933 ppl 3697.46
Epoch(59)   step-time 0.10s  loss 60.167 ppl 4078.49
Epoch(60)   step-time 0.10s  loss 59.370 ppl 3601.03
Epoch(61)   step-time 0.10s  loss 58.686 ppl 3478.95
Epoch(62)   step-time 0.09s  loss 61.828 ppl 3671.66
Epoch(63)   step-time 0.09s  loss 58.588 ppl 3519.38
Epoch(64)   step-time 0.09s  loss 59.395 ppl 3613.49
Epoch(65)   step-time 0.09s  loss 58.865 ppl 3553.52
Epoch(66)   step-time 0.09s  loss 56.252 ppl 3374.07
Epoch(67)   step-time 0.09s  loss 55.772 ppl 3255.88
Epoch(68)   step-time 0.08s  loss 57.143 ppl 3392.08
Epoch(69)   step-time 0.09s  loss 52.913 ppl 3590.42
Epoch(70)   step-time 0.08s  loss 52.317 ppl 3750.53
Epoch(71)   step-time 0.08s  loss 49.665 ppl 3136.14
Epoch(72)   step-time 0.08s  loss 50.127 ppl 3269.01
Epoch(73)   step-time 0.08s  loss 51.532 ppl 3319.07
Epoch(74)   step-time 0.08s  loss 49.805 ppl 3540.12
Epoch(75)   step-time 0.08s  loss 50.928 ppl 3503.67
Epoch(76)   step-time 0.08s  loss 45.711 ppl 3760.70
Epoch(77)   step-time 0.08s  loss 51.387 ppl 3213.58
Epoch(78)   step-time 0.08s  loss 44.109 ppl 3610.71
Epoch(79)   step-time 0.07s  loss 47.097 ppl 3256.70
Epoch(80)   step-time 0.07s  loss 47.093 ppl 3134.16
Epoch(81)   step-time 0.07s  loss 43.284 ppl 3284.55
Epoch(82)   step-time 0.07s  loss 44.632 ppl 3226.51
Epoch(83)   step-time 0.07s  loss 43.109 ppl 2994.42
Epoch(84)   step-time 0.07s  loss 43.540 ppl 3386.01
Epoch(85)   step-time 0.07s  loss 45.748 ppl 3189.66
Epoch(86)   step-time 0.07s  loss 44.153 ppl 3171.15
Epoch(87)   step-time 0.07s  loss 39.651 ppl 3048.40
Epoch(88)   step-time 0.07s  loss 44.675 ppl 3101.65
Epoch(89)   step-time 0.07s  loss 40.146 ppl 3301.12
Epoch(90)   step-time 0.06s  loss 39.341 ppl 2854.52
Epoch(91)   step-time 0.07s  loss 39.677 ppl 3401.36
Epoch(92)   step-time 0.06s  loss 42.616 ppl 3135.83
Epoch(93)   step-time 0.06s  loss 40.474 ppl 2956.39
Epoch(94)   step-time 0.06s  loss 37.708 ppl 3039.41
Epoch(95)   step-time 0.06s  loss 37.364 ppl 2964.51
Epoch(96)   step-time 0.06s  loss 39.037 ppl 3055.37
Epoch(97)   step-time 0.06s  loss 35.572 ppl 3054.25
Epoch(98)   step-time 0.06s  loss 33.593 ppl 3010.94
Epoch(99)   step-time 0.06s  loss 35.168 ppl 2884.81
Epoch(100)   step-time 0.06s  loss 33.820 ppl 3202.46
Epoch(101)   step-time 0.06s  loss 33.931 ppl 2687.25
