Epoch(1)   step-time 34.44s  loss 3718.736 ppl 4339.58
Epoch(2)   step-time 15.76s  loss 1952.018 ppl 4762.95
Epoch(3)   step-time 10.67s  loss 1246.833 ppl 4920.36
Epoch(4)   step-time 7.85s  loss 985.331 ppl 5069.52
Epoch(5)   step-time 6.43s  loss 786.160 ppl 4443.27
Epoch(6)   step-time 5.09s  loss 600.881 ppl 4643.83
Epoch(7)   step-time 4.61s  loss 557.684 ppl 4425.95
Epoch(8)   step-time 4.64s  loss 490.257 ppl 4439.98
Epoch(9)   step-time 4.11s  loss 421.611 ppl 4768.87
Epoch(10)   step-time 3.70s  loss 371.894 ppl 4181.48
Epoch(11)   step-time 3.61s  loss 362.974 ppl 4169.36
Epoch(12)   step-time 3.27s  loss 296.887 ppl 4547.52
Epoch(13)   step-time 2.86s  loss 269.193 ppl 4594.25
Epoch(14)   step-time 2.65s  loss 282.562 ppl 4442.11
Epoch(15)   step-time 2.50s  loss 246.208 ppl 4680.10
Epoch(16)   step-time 2.31s  loss 224.736 ppl 4541.48
Epoch(17)   step-time 2.14s  loss 223.719 ppl 4955.82
Epoch(18)   step-time 2.05s  loss 205.637 ppl 4770.41
Epoch(19)   step-time 1.95s  loss 203.724 ppl 4512.94
Epoch(20)   step-time 1.82s  loss 192.948 ppl 4647.62
Epoch(21)   step-time 1.76s  loss 192.387 ppl 4523.07
Epoch(22)   step-time 1.66s  loss 180.347 ppl 4554.41
Epoch(23)   step-time 1.59s  loss 164.328 ppl 4882.26
Epoch(24)   step-time 1.53s  loss 149.615 ppl 4316.05
Epoch(25)   step-time 1.48s  loss 154.335 ppl 4728.48
Epoch(26)   step-time 1.47s  loss 143.672 ppl 4506.35
Epoch(27)   step-time 1.34s  loss 139.754 ppl 4464.50
Epoch(28)   step-time 1.20s  loss 131.664 ppl 4352.87
Epoch(29)   step-time 1.05s  loss 122.465 ppl 4517.95
Epoch(30)   step-time 1.10s  loss 123.548 ppl 4732.53
Epoch(31)   step-time 1.01s  loss 123.598 ppl 3997.30
Epoch(32)   step-time 0.96s  loss 113.693 ppl 4456.96
Epoch(33)   step-time 1.02s  loss 111.520 ppl 4289.71
Epoch(34)   step-time 0.89s  loss 110.500 ppl 4147.97
Epoch(35)   step-time 0.86s  loss 106.388 ppl 3995.89
Epoch(36)   step-time 0.90s  loss 100.906 ppl 4316.11
Epoch(37)   step-time 0.84s  loss 106.787 ppl 4397.39
Epoch(38)   step-time 0.81s  loss 98.654 ppl 4227.42
Epoch(39)   step-time 0.79s  loss 102.051 ppl 4354.40
Epoch(40)   step-time 0.78s  loss 90.912 ppl 3605.73
Epoch(41)   step-time 0.77s  loss 98.181 ppl 4236.43
Epoch(42)   step-time 0.74s  loss 89.263 ppl 4001.16
Epoch(43)   step-time 0.72s  loss 88.070 ppl 4043.37
Epoch(44)   step-time 0.73s  loss 91.360 ppl 4187.84
Epoch(45)   step-time 0.71s  loss 82.343 ppl 3982.02
Epoch(46)   step-time 0.69s  loss 75.753 ppl 3856.33
Epoch(47)   step-time 0.70s  loss 81.497 ppl 4529.71
Epoch(48)   step-time 0.68s  loss 78.233 ppl 4056.07
Epoch(49)   step-time 0.62s  loss 74.844 ppl 4412.11
Epoch(50)   step-time 0.62s  loss 74.422 ppl 4201.89
Epoch(51)   step-time 0.61s  loss 69.015 ppl 4109.19
Epoch(52)   step-time 0.61s  loss 68.239 ppl 3910.28
Epoch(53)   step-time 0.59s  loss 75.100 ppl 3992.86
Epoch(54)   step-time 0.58s  loss 67.931 ppl 3873.30
Epoch(55)   step-time 0.59s  loss 70.117 ppl 3858.06
Epoch(56)   step-time 0.62s  loss 64.449 ppl 3935.58
Epoch(57)   step-time 0.55s  loss 62.506 ppl 3891.37
Epoch(58)   step-time 0.54s  loss 63.815 ppl 4172.34
Epoch(59)   step-time 0.52s  loss 60.519 ppl 4039.00
Epoch(60)   step-time 0.54s  loss 59.773 ppl 4190.09
Epoch(61)   step-time 0.52s  loss 61.344 ppl 3798.12
Epoch(62)   step-time 0.50s  loss 64.688 ppl 3647.17
Epoch(63)   step-time 0.48s  loss 60.289 ppl 3785.75
Epoch(64)   step-time 0.48s  loss 57.350 ppl 3682.06
Epoch(65)   step-time 0.47s  loss 58.325 ppl 3535.22
Epoch(66)   step-time 0.50s  loss 56.112 ppl 4192.32
Epoch(67)   step-time 0.46s  loss 57.944 ppl 4077.25
Epoch(68)   step-time 0.44s  loss 54.960 ppl 3625.56
Epoch(69)   step-time 0.43s  loss 54.288 ppl 3900.94
Epoch(70)   step-time 0.43s  loss 50.691 ppl 4064.01
Epoch(71)   step-time 0.42s  loss 54.465 ppl 3678.48
Epoch(72)   step-time 0.42s  loss 52.527 ppl 3856.42
Epoch(73)   step-time 0.42s  loss 52.562 ppl 3701.08
Epoch(74)   step-time 0.42s  loss 49.365 ppl 3353.69
Epoch(75)   step-time 0.43s  loss 48.638 ppl 3500.64
Epoch(76)   step-time 0.39s  loss 48.402 ppl 3244.40
Epoch(77)   step-time 0.40s  loss 47.460 ppl 3552.79
Epoch(78)   step-time 0.41s  loss 46.215 ppl 3752.24
Epoch(79)   step-time 0.40s  loss 43.857 ppl 3678.39
Epoch(80)   step-time 0.38s  loss 47.715 ppl 3425.63
Epoch(81)   step-time 0.46s  loss 45.228 ppl 3495.04
Epoch(82)   step-time 0.51s  loss 46.728 ppl 3412.46
Epoch(83)   step-time 0.51s  loss 45.153 ppl 3453.87
Epoch(84)   step-time 0.48s  loss 43.764 ppl 3171.05
Epoch(85)   step-time 0.45s  loss 42.414 ppl 3299.58
Epoch(86)   step-time 0.49s  loss 44.266 ppl 3409.29
Epoch(87)   step-time 0.51s  loss 45.410 ppl 3391.32
Epoch(88)   step-time 0.51s  loss 43.148 ppl 3116.56
Epoch(89)   step-time 0.46s  loss 39.188 ppl 3394.20
Epoch(90)   step-time 0.42s  loss 40.232 ppl 3178.71
Epoch(91)   step-time 0.45s  loss 39.083 ppl 3361.19
Epoch(92)   step-time 0.42s  loss 37.404 ppl 3687.83
Epoch(93)   step-time 0.41s  loss 39.070 ppl 3044.25
Epoch(94)   step-time 0.41s  loss 37.782 ppl 3322.58
Epoch(95)   step-time 0.41s  loss 37.061 ppl 3213.86
Epoch(96)   step-time 0.43s  loss 37.119 ppl 3058.50
Epoch(97)   step-time 0.38s  loss 40.830 ppl 3237.76
Epoch(98)   step-time 0.39s  loss 37.520 ppl 3291.56
Epoch(99)   step-time 0.38s  loss 34.583 ppl 3212.45
Epoch(100)   step-time 0.37s  loss 34.870 ppl 3263.60
Epoch(101)   step-time 0.37s  loss 36.024 ppl 2918.77
