Epoch(1)   step-time 9.20s  loss 3648.740 ppl 4479.36
Epoch(2)   step-time 2.91s  loss 1910.568 ppl 4965.77
Epoch(3)   step-time 1.97s  loss 1286.894 ppl 4496.58
Epoch(4)   step-time 1.46s  loss 970.968 ppl 4908.04
Epoch(5)   step-time 1.19s  loss 790.325 ppl 4324.64
Epoch(6)   step-time 0.96s  loss 688.184 ppl 4895.65
Epoch(7)   step-time 0.85s  loss 548.830 ppl 4644.96
Epoch(8)   step-time 0.72s  loss 453.249 ppl 4505.12
Epoch(9)   step-time 0.65s  loss 455.956 ppl 4565.58
Epoch(10)   step-time 0.63s  loss 374.390 ppl 4592.67
Epoch(11)   step-time 0.57s  loss 346.449 ppl 4674.96
Epoch(12)   step-time 0.51s  loss 313.093 ppl 4149.01
Epoch(13)   step-time 0.46s  loss 285.260 ppl 4008.44
Epoch(14)   step-time 0.42s  loss 262.087 ppl 4346.86
Epoch(15)   step-time 0.39s  loss 250.126 ppl 4177.81
Epoch(16)   step-time 0.36s  loss 250.988 ppl 4612.65
Epoch(17)   step-time 0.35s  loss 203.118 ppl 4363.67
Epoch(18)   step-time 0.32s  loss 204.192 ppl 4409.15
Epoch(19)   step-time 0.30s  loss 207.619 ppl 4416.47
Epoch(20)   step-time 0.29s  loss 181.447 ppl 4625.65
Epoch(21)   step-time 0.27s  loss 188.951 ppl 4557.62
Epoch(22)   step-time 0.27s  loss 166.610 ppl 4392.71
Epoch(23)   step-time 0.25s  loss 169.656 ppl 4572.52
Epoch(24)   step-time 0.25s  loss 140.638 ppl 4250.33
Epoch(25)   step-time 0.23s  loss 149.196 ppl 4052.73
Epoch(26)   step-time 0.23s  loss 137.571 ppl 4019.73
Epoch(27)   step-time 0.21s  loss 133.863 ppl 4470.92
Epoch(28)   step-time 0.21s  loss 131.634 ppl 4344.77
Epoch(29)   step-time 0.20s  loss 129.276 ppl 4075.06
Epoch(30)   step-time 0.20s  loss 125.378 ppl 3963.54
Epoch(31)   step-time 0.21s  loss 121.361 ppl 4274.62
Epoch(32)   step-time 0.21s  loss 118.164 ppl 3992.56
Epoch(33)   step-time 0.19s  loss 111.981 ppl 4440.86
Epoch(34)   step-time 0.19s  loss 111.445 ppl 4137.03
Epoch(35)   step-time 0.18s  loss 105.170 ppl 4060.75
Epoch(36)   step-time 0.17s  loss 99.708 ppl 4220.35
Epoch(37)   step-time 0.16s  loss 95.046 ppl 3773.92
Epoch(38)   step-time 0.15s  loss 93.667 ppl 4252.47
Epoch(39)   step-time 0.16s  loss 94.666 ppl 4010.11
Epoch(40)   step-time 0.15s  loss 94.215 ppl 4027.32
Epoch(41)   step-time 0.14s  loss 91.688 ppl 4168.40
Epoch(42)   step-time 0.14s  loss 92.474 ppl 4396.34
Epoch(43)   step-time 0.14s  loss 81.647 ppl 4023.04
Epoch(44)   step-time 0.13s  loss 87.528 ppl 3748.46
Epoch(45)   step-time 0.13s  loss 89.011 ppl 3995.56
Epoch(46)   step-time 0.13s  loss 73.523 ppl 3747.71
Epoch(47)   step-time 0.13s  loss 75.955 ppl 3665.32
Epoch(48)   step-time 0.12s  loss 81.848 ppl 3647.72
Epoch(49)   step-time 0.13s  loss 81.568 ppl 3924.66
Epoch(50)   step-time 0.12s  loss 72.094 ppl 3751.39
Epoch(51)   step-time 0.12s  loss 74.215 ppl 3613.93
Epoch(52)   step-time 0.11s  loss 76.128 ppl 3688.39
Epoch(53)   step-time 0.12s  loss 75.461 ppl 3945.94
Epoch(54)   step-time 0.11s  loss 70.774 ppl 3710.42
Epoch(55)   step-time 0.11s  loss 70.185 ppl 3958.54
Epoch(56)   step-time 0.10s  loss 67.575 ppl 3806.22
Epoch(57)   step-time 0.11s  loss 63.055 ppl 3661.89
