Epoch(1)   step-time 9.82s  loss 4102.607 ppl 4885.42
Epoch(2)   step-time 3.15s  loss 1838.500 ppl 4875.21
Epoch(3)   step-time 2.00s  loss 1328.499 ppl 4730.47
Epoch(4)   step-time 1.56s  loss 929.921 ppl 4877.71
Epoch(5)   step-time 1.21s  loss 730.513 ppl 4432.43
Epoch(6)   step-time 1.04s  loss 678.677 ppl 4586.02
Epoch(7)   step-time 0.87s  loss 559.806 ppl 4739.00
Epoch(8)   step-time 0.77s  loss 489.427 ppl 4973.02
Epoch(9)   step-time 0.69s  loss 424.932 ppl 4554.01
Epoch(10)   step-time 0.62s  loss 392.573 ppl 4724.98
Epoch(11)   step-time 0.54s  loss 337.624 ppl 4457.80
Epoch(12)   step-time 0.52s  loss 328.905 ppl 4598.43
Epoch(13)   step-time 0.46s  loss 279.670 ppl 4607.85
Epoch(14)   step-time 0.45s  loss 272.875 ppl 4512.74
Epoch(15)   step-time 0.40s  loss 253.984 ppl 4409.67
Epoch(16)   step-time 0.38s  loss 236.629 ppl 4592.68
Epoch(17)   step-time 0.35s  loss 242.233 ppl 4464.97
Epoch(18)   step-time 0.34s  loss 195.711 ppl 4392.32
Epoch(19)   step-time 0.32s  loss 198.524 ppl 4534.89
Epoch(20)   step-time 0.31s  loss 191.541 ppl 4370.17
Epoch(21)   step-time 0.29s  loss 164.932 ppl 4477.00
Epoch(22)   step-time 0.28s  loss 165.242 ppl 5082.87
Epoch(23)   step-time 0.26s  loss 177.728 ppl 4270.11
Epoch(24)   step-time 0.25s  loss 160.750 ppl 4724.60
Epoch(25)   step-time 0.25s  loss 140.903 ppl 4218.83
Epoch(26)   step-time 0.24s  loss 142.831 ppl 4904.81
Epoch(27)   step-time 0.22s  loss 137.216 ppl 4715.02
Epoch(28)   step-time 0.22s  loss 142.919 ppl 4248.72
Epoch(29)   step-time 0.22s  loss 133.479 ppl 4198.37
Epoch(30)   step-time 0.20s  loss 122.357 ppl 4361.56
Epoch(31)   step-time 0.20s  loss 112.671 ppl 4089.59
Epoch(32)   step-time 0.19s  loss 119.868 ppl 4259.09
Epoch(33)   step-time 0.19s  loss 112.603 ppl 4231.56
Epoch(34)   step-time 0.18s  loss 118.322 ppl 4363.97
Epoch(35)   step-time 0.18s  loss 95.826 ppl 4030.97
