Epoch(1)   step-time 8.99s  loss 3844.430 ppl 5434.46
Epoch(2)   step-time 2.95s  loss 1819.609 ppl 5129.51
Epoch(3)   step-time 1.97s  loss 1301.250 ppl 5854.68
Epoch(4)   step-time 1.48s  loss 1011.689 ppl 5798.96
Epoch(5)   step-time 1.17s  loss 730.481 ppl 6105.57
Epoch(6)   step-time 0.99s  loss 610.875 ppl 5134.33
Epoch(7)   step-time 0.86s  loss 593.961 ppl 5574.67
Epoch(8)   step-time 0.84s  loss 501.207 ppl 5258.67
Epoch(9)   step-time 0.65s  loss 436.274 ppl 5189.54
Epoch(10)   step-time 0.59s  loss 367.476 ppl 5044.83
Epoch(11)   step-time 0.53s  loss 350.750 ppl 5605.17
Epoch(12)   step-time 0.50s  loss 304.463 ppl 5305.11
Epoch(13)   step-time 0.48s  loss 301.584 ppl 5318.63
Epoch(14)   step-time 0.45s  loss 279.069 ppl 4882.50
Epoch(15)   step-time 0.39s  loss 259.323 ppl 4618.53
Epoch(16)   step-time 0.37s  loss 247.716 ppl 5125.17
Epoch(17)   step-time 0.34s  loss 227.025 ppl 5512.48
Epoch(18)   step-time 0.33s  loss 208.642 ppl 5398.97
Epoch(19)   step-time 0.31s  loss 190.259 ppl 4566.08
Epoch(20)   step-time 0.32s  loss 198.978 ppl 4671.18
Epoch(21)   step-time 0.29s  loss 185.834 ppl 5409.15
Epoch(22)   step-time 0.26s  loss 165.181 ppl 5493.63
Epoch(23)   step-time 0.26s  loss 178.052 ppl 5257.10
Epoch(24)   step-time 0.24s  loss 168.092 ppl 4794.54
Epoch(25)   step-time 0.24s  loss 153.903 ppl 4617.71
Epoch(26)   step-time 0.23s  loss 142.640 ppl 5567.64
Epoch(27)   step-time 0.22s  loss 149.415 ppl 4794.36
Epoch(28)   step-time 0.21s  loss 132.664 ppl 5111.84
Epoch(29)   step-time 0.21s  loss 129.501 ppl 5191.39
Epoch(30)   step-time 0.20s  loss 130.661 ppl 5114.85
Epoch(31)   step-time 0.21s  loss 127.255 ppl 5015.58
Epoch(32)   step-time 0.18s  loss 118.451 ppl 5003.15
Epoch(33)   step-time 0.18s  loss 122.129 ppl 5702.21
Epoch(34)   step-time 0.17s  loss 108.724 ppl 5001.67
Epoch(35)   step-time 0.17s  loss 103.082 ppl 4671.93
Epoch(36)   step-time 0.17s  loss 108.734 ppl 4962.39
Epoch(37)   step-time 0.16s  loss 102.890 ppl 4903.09
Epoch(38)   step-time 0.16s  loss 104.556 ppl 4776.54
Epoch(39)   step-time 0.15s  loss 95.065 ppl 5129.10
Epoch(40)   step-time 0.15s  loss 95.239 ppl 4490.16
Epoch(41)   step-time 0.14s  loss 94.056 ppl 4706.97
Epoch(42)   step-time 0.14s  loss 89.138 ppl 5153.58
Epoch(43)   step-time 0.14s  loss 88.489 ppl 5586.95
Epoch(44)   step-time 0.13s  loss 92.625 ppl 4618.71
Epoch(45)   step-time 0.13s  loss 84.108 ppl 4847.44
Epoch(46)   step-time 0.13s  loss 77.487 ppl 5050.91
