Epoch(1)   step-time 24.17s  loss 4205.596 ppl 5629.19
Epoch(2)   step-time 10.20s  loss 1907.681 ppl 5394.62
Epoch(3)   step-time 6.80s  loss 1173.461 ppl 6356.10
Epoch(4)   step-time 5.11s  loss 979.814 ppl 5944.07
Epoch(5)   step-time 4.18s  loss 775.742 ppl 5755.04
Epoch(6)   step-time 3.40s  loss 651.997 ppl 6198.73
Epoch(7)   step-time 2.94s  loss 554.246 ppl 5550.27
Epoch(8)   step-time 2.54s  loss 501.583 ppl 5011.30
Epoch(9)   step-time 2.31s  loss 395.043 ppl 4843.63
Epoch(10)   step-time 2.05s  loss 358.689 ppl 5554.36
Epoch(11)   step-time 1.86s  loss 328.456 ppl 5444.80
Epoch(12)   step-time 1.71s  loss 351.128 ppl 4807.59
Epoch(13)   step-time 1.57s  loss 308.461 ppl 4893.90
Epoch(14)   step-time 1.46s  loss 256.941 ppl 5034.70
Epoch(15)   step-time 1.45s  loss 251.704 ppl 4571.48
Epoch(16)   step-time 1.28s  loss 244.152 ppl 4700.79
Epoch(17)   step-time 1.20s  loss 218.449 ppl 4810.75
Epoch(18)   step-time 1.29s  loss 211.638 ppl 4170.81
Epoch(19)   step-time 1.08s  loss 210.560 ppl 4547.81
Epoch(20)   step-time 1.02s  loss 188.602 ppl 4209.98
Epoch(21)   step-time 0.97s  loss 178.476 ppl 4909.19
Epoch(22)   step-time 0.93s  loss 163.633 ppl 4324.04
Epoch(23)   step-time 0.89s  loss 167.318 ppl 4891.04
Epoch(24)   step-time 0.90s  loss 163.616 ppl 4650.44
Epoch(25)   step-time 0.83s  loss 145.894 ppl 4465.02
Epoch(26)   step-time 0.79s  loss 152.041 ppl 4831.80
Epoch(27)   step-time 0.76s  loss 128.024 ppl 3981.22
Epoch(28)   step-time 0.76s  loss 130.612 ppl 4479.11
Epoch(29)   step-time 0.70s  loss 124.676 ppl 4071.32
Epoch(30)   step-time 0.75s  loss 124.085 ppl 4460.69
Epoch(31)   step-time 0.66s  loss 118.947 ppl 4618.70
Epoch(32)   step-time 0.64s  loss 120.469 ppl 4607.52
Epoch(33)   step-time 0.62s  loss 113.419 ppl 4249.36
Epoch(34)   step-time 0.60s  loss 111.183 ppl 4132.00
Epoch(35)   step-time 0.59s  loss 104.082 ppl 4505.85
Epoch(36)   step-time 0.58s  loss 97.297 ppl 4357.63
Epoch(37)   step-time 0.55s  loss 99.161 ppl 3879.36
Epoch(38)   step-time 0.54s  loss 98.597 ppl 4621.44
Epoch(39)   step-time 0.52s  loss 94.841 ppl 3781.42
Epoch(40)   step-time 0.51s  loss 89.025 ppl 4026.59
Epoch(41)   step-time 0.50s  loss 81.169 ppl 4020.15
Epoch(42)   step-time 0.49s  loss 90.701 ppl 4326.20
Epoch(43)   step-time 0.48s  loss 85.667 ppl 4242.95
Epoch(44)   step-time 0.46s  loss 84.939 ppl 4120.27
Epoch(45)   step-time 0.47s  loss 80.500 ppl 4298.73
Epoch(46)   step-time 0.45s  loss 80.434 ppl 4082.61
Epoch(47)   step-time 0.45s  loss 80.022 ppl 4033.94
Epoch(48)   step-time 0.43s  loss 73.849 ppl 3731.04
Epoch(49)   step-time 0.42s  loss 71.153 ppl 3873.04
Epoch(50)   step-time 0.41s  loss 76.271 ppl 3985.00
Epoch(51)   step-time 0.41s  loss 76.973 ppl 3883.34
Epoch(52)   step-time 0.39s  loss 75.444 ppl 4070.89
Epoch(53)   step-time 0.38s  loss 70.682 ppl 3696.86
Epoch(54)   step-time 0.38s  loss 70.639 ppl 3922.34
Epoch(55)   step-time 0.37s  loss 69.194 ppl 3847.71
Epoch(56)   step-time 0.37s  loss 66.489 ppl 3850.04
Epoch(57)   step-time 0.36s  loss 66.357 ppl 3930.44
Epoch(58)   step-time 0.36s  loss 66.043 ppl 3586.21
Epoch(59)   step-time 0.35s  loss 61.764 ppl 3600.89
Epoch(60)   step-time 0.35s  loss 63.737 ppl 3600.69
Epoch(61)   step-time 0.34s  loss 60.603 ppl 4130.12
Epoch(62)   step-time 0.33s  loss 63.443 ppl 3947.97
Epoch(63)   step-time 0.32s  loss 60.420 ppl 3854.59
Epoch(64)   step-time 0.32s  loss 58.407 ppl 3631.53
Epoch(65)   step-time 0.31s  loss 58.154 ppl 3840.53
Epoch(66)   step-time 0.31s  loss 59.258 ppl 3576.06
Epoch(67)   step-time 0.31s  loss 56.347 ppl 3732.76
Epoch(68)   step-time 0.30s  loss 53.159 ppl 3497.92
Epoch(69)   step-time 0.30s  loss 51.478 ppl 3388.38
Epoch(70)   step-time 0.29s  loss 56.803 ppl 3343.11
Epoch(71)   step-time 0.29s  loss 56.734 ppl 3535.73
Epoch(72)   step-time 0.28s  loss 52.773 ppl 3537.91
Epoch(73)   step-time 0.28s  loss 47.292 ppl 3308.05
Epoch(74)   step-time 0.28s  loss 51.548 ppl 3717.99
Epoch(75)   step-time 0.28s  loss 49.614 ppl 3626.76
Epoch(76)   step-time 0.28s  loss 46.959 ppl 3588.34
Epoch(77)   step-time 0.27s  loss 48.750 ppl 3261.49
Epoch(78)   step-time 0.27s  loss 44.500 ppl 3390.48
Epoch(79)   step-time 0.26s  loss 50.667 ppl 3358.10
Epoch(80)   step-time 0.25s  loss 44.727 ppl 3530.98
Epoch(81)   step-time 0.26s  loss 41.845 ppl 3259.75
Epoch(82)   step-time 0.25s  loss 43.112 ppl 3384.35
Epoch(83)   step-time 0.25s  loss 44.662 ppl 3579.73
Epoch(84)   step-time 0.24s  loss 43.168 ppl 3102.94
Epoch(85)   step-time 0.24s  loss 41.041 ppl 3274.49
Epoch(86)   step-time 0.24s  loss 42.680 ppl 3244.58
Epoch(87)   step-time 0.24s  loss 43.155 ppl 3210.53
Epoch(88)   step-time 0.23s  loss 39.781 ppl 3433.10
Epoch(89)   step-time 0.23s  loss 40.889 ppl 3433.29
Epoch(90)   step-time 352.02s  loss 36.592 ppl 3140.06
Epoch(91)   step-time 0.27s  loss 41.089 ppl 3106.21
Epoch(92)   step-time 0.22s  loss 41.392 ppl 3190.50
Epoch(93)   step-time 0.23s  loss 36.008 ppl 3194.80
Epoch(94)   step-time 0.26s  loss 37.225 ppl 3002.82
Epoch(95)   step-time 0.24s  loss 38.803 ppl 3185.38
Epoch(96)   step-time 0.24s  loss 36.317 ppl 3515.83
Epoch(97)   step-time 0.30s  loss 35.597 ppl 3071.92
Epoch(98)   step-time 0.25s  loss 34.838 ppl 2859.34
Epoch(99)   step-time 0.21s  loss 32.564 ppl 2921.55
Epoch(100)   step-time 0.20s  loss 34.533 ppl 3017.64
Epoch(101)   step-time 0.23s  loss 35.581 ppl 3274.51
