Epoch(1)   step-time 45.56s  loss 3517.630 ppl 4799.26
Epoch(2)   step-time 21.40s  loss 1924.007 ppl 4622.21
Epoch(3)   step-time 13.42s  loss 1262.775 ppl 4703.61
Epoch(4)   step-time 9.84s  loss 963.474 ppl 4682.20
Epoch(5)   step-time 7.82s  loss 768.454 ppl 4480.95
Epoch(6)   step-time 6.43s  loss 648.331 ppl 5067.83
Epoch(7)   step-time 5.56s  loss 543.695 ppl 4985.25
Epoch(8)   step-time 4.92s  loss 492.005 ppl 4493.33
Epoch(9)   step-time 4.38s  loss 418.084 ppl 4791.91
Epoch(10)   step-time 4.12s  loss 386.342 ppl 4282.87
Epoch(11)   step-time 3.54s  loss 308.813 ppl 4484.08
Epoch(12)   step-time 3.27s  loss 326.874 ppl 4692.09
Epoch(13)   step-time 2.90s  loss 292.345 ppl 4483.49
Epoch(14)   step-time 2.74s  loss 289.499 ppl 4728.47
Epoch(15)   step-time 2.64s  loss 258.002 ppl 4942.21
Epoch(16)   step-time 2.56s  loss 232.738 ppl 4559.13
Epoch(17)   step-time 2.32s  loss 235.959 ppl 4334.31
Epoch(18)   step-time 2.08s  loss 210.663 ppl 4482.03
Epoch(19)   step-time 2.00s  loss 213.404 ppl 4662.21
Epoch(20)   step-time 1.86s  loss 193.170 ppl 4523.20
Epoch(21)   step-time 1.82s  loss 160.841 ppl 4274.95
Epoch(22)   step-time 1.69s  loss 171.956 ppl 4008.36
Epoch(23)   step-time 1.61s  loss 146.574 ppl 4207.31
Epoch(24)   step-time 1.57s  loss 164.448 ppl 4515.51
Epoch(25)   step-time 1.48s  loss 155.130 ppl 4189.41
Epoch(26)   step-time 1.43s  loss 145.507 ppl 4158.77
Epoch(27)   step-time 1.39s  loss 124.818 ppl 4195.51
Epoch(28)   step-time 1.33s  loss 133.687 ppl 4174.74
Epoch(29)   step-time 1.30s  loss 129.818 ppl 4546.86
Epoch(30)   step-time 1.24s  loss 128.888 ppl 4235.65
Epoch(31)   step-time 1.24s  loss 123.601 ppl 3857.81
Epoch(32)   step-time 1.17s  loss 112.793 ppl 4170.44
Epoch(33)   step-time 1.13s  loss 116.145 ppl 4155.20
Epoch(34)   step-time 1.09s  loss 102.705 ppl 4421.20
Epoch(35)   step-time 1.06s  loss 101.696 ppl 4791.80
Epoch(36)   step-time 1.04s  loss 101.701 ppl 4268.26
Epoch(37)   step-time 1.01s  loss 102.125 ppl 4193.61
Epoch(38)   step-time 0.98s  loss 93.668 ppl 4423.84
Epoch(39)   step-time 0.96s  loss 87.785 ppl 4408.17
