Epoch(1)   step-time 23.65s  loss 3849.280 ppl 4467.31
Epoch(2)   step-time 9.95s  loss 1965.984 ppl 4788.96
Epoch(3)   step-time 6.71s  loss 1313.034 ppl 4863.16
Epoch(4)   step-time 5.04s  loss 1013.580 ppl 4498.30
Epoch(5)   step-time 4.03s  loss 751.396 ppl 4553.83
Epoch(6)   step-time 3.36s  loss 642.379 ppl 4600.24
Epoch(7)   step-time 2.86s  loss 524.980 ppl 4488.57
Epoch(8)   step-time 2.49s  loss 447.649 ppl 4751.29
Epoch(9)   step-time 2.23s  loss 404.283 ppl 5020.04
Epoch(10)   step-time 2.02s  loss 383.828 ppl 4441.98
Epoch(11)   step-time 2.06s  loss 351.757 ppl 4260.19
Epoch(12)   step-time 1.68s  loss 317.202 ppl 4219.24
Epoch(13)   step-time 1.57s  loss 307.978 ppl 4341.42
Epoch(14)   step-time 1.68s  loss 265.923 ppl 4298.88
Epoch(15)   step-time 1.38s  loss 263.068 ppl 4273.62
Epoch(16)   step-time 1.29s  loss 218.932 ppl 4026.85
Epoch(17)   step-time 1.23s  loss 216.396 ppl 4442.38
Epoch(18)   step-time 1.13s  loss 205.697 ppl 4345.05
Epoch(19)   step-time 1.07s  loss 194.638 ppl 4468.55
Epoch(20)   step-time 1.01s  loss 189.973 ppl 4155.28
Epoch(21)   step-time 0.97s  loss 195.557 ppl 4438.90
Epoch(22)   step-time 0.99s  loss 178.809 ppl 4896.81
Epoch(23)   step-time 0.99s  loss 169.731 ppl 4674.10
Epoch(24)   step-time 0.88s  loss 155.266 ppl 4414.89
Epoch(25)   step-time 0.83s  loss 146.744 ppl 4023.95
Epoch(26)   step-time 0.78s  loss 135.238 ppl 4500.56
Epoch(27)   step-time 0.75s  loss 138.571 ppl 3658.72
Epoch(28)   step-time 0.72s  loss 129.362 ppl 4464.90
Epoch(29)   step-time 0.69s  loss 126.650 ppl 4383.10
Epoch(30)   step-time 0.67s  loss 119.912 ppl 4649.43
Epoch(31)   step-time 0.65s  loss 123.536 ppl 3980.81
Epoch(32)   step-time 0.62s  loss 118.366 ppl 4786.93
Epoch(33)   step-time 0.62s  loss 111.896 ppl 4329.32
Epoch(34)   step-time 0.64s  loss 110.190 ppl 4283.89
Epoch(35)   step-time 0.59s  loss 108.086 ppl 4081.90
Epoch(36)   step-time 0.56s  loss 97.645 ppl 3760.68
Epoch(37)   step-time 0.54s  loss 102.073 ppl 4333.02
Epoch(38)   step-time 0.53s  loss 103.743 ppl 4720.83
Epoch(39)   step-time 0.52s  loss 101.868 ppl 4069.95
Epoch(40)   step-time 0.50s  loss 96.028 ppl 4081.01
Epoch(41)   step-time 0.49s  loss 94.203 ppl 4430.95
Epoch(42)   step-time 0.47s  loss 87.386 ppl 4115.50
Epoch(43)   step-time 0.51s  loss 86.169 ppl 4209.75
Epoch(44)   step-time 0.46s  loss 86.167 ppl 4008.64
Epoch(45)   step-time 0.45s  loss 78.746 ppl 4018.89
Epoch(46)   step-time 0.44s  loss 77.864 ppl 4065.68
Epoch(47)   step-time 0.43s  loss 74.746 ppl 3966.17
Epoch(48)   step-time 0.42s  loss 82.196 ppl 4120.15
Epoch(49)   step-time 0.41s  loss 72.703 ppl 4040.30
Epoch(50)   step-time 0.45s  loss 80.096 ppl 4059.19
Epoch(51)   step-time 0.42s  loss 67.869 ppl 4106.93
Epoch(52)   step-time 0.45s  loss 70.290 ppl 4052.31
Epoch(53)   step-time 0.41s  loss 71.544 ppl 3870.15
Epoch(54)   step-time 0.39s  loss 69.867 ppl 3919.72
Epoch(55)   step-time 0.38s  loss 66.308 ppl 4210.67
Epoch(56)   step-time 0.37s  loss 68.937 ppl 4105.17
Epoch(57)   step-time 0.36s  loss 68.148 ppl 3751.07
Epoch(58)   step-time 0.36s  loss 68.731 ppl 3907.00
Epoch(59)   step-time 0.35s  loss 67.680 ppl 3894.68
Epoch(60)   step-time 0.34s  loss 59.667 ppl 3823.22
Epoch(61)   step-time 0.33s  loss 59.766 ppl 3484.11
Epoch(62)   step-time 0.34s  loss 58.312 ppl 3844.04
Epoch(63)   step-time 0.32s  loss 56.136 ppl 3953.37
Epoch(64)   step-time 0.35s  loss 56.278 ppl 4020.28
Epoch(65)   step-time 0.33s  loss 59.506 ppl 3816.80
Epoch(66)   step-time 0.31s  loss 56.403 ppl 3843.19
Epoch(67)   step-time 0.31s  loss 54.925 ppl 3903.56
Epoch(68)   step-time 0.32s  loss 56.163 ppl 3890.80
Epoch(69)   step-time 0.30s  loss 50.981 ppl 3782.74
Epoch(70)   step-time 0.29s  loss 51.913 ppl 4010.24
Epoch(71)   step-time 0.28s  loss 53.262 ppl 3463.41
Epoch(72)   step-time 0.30s  loss 51.559 ppl 3432.23
Epoch(73)   step-time 0.28s  loss 53.941 ppl 3592.18
Epoch(74)   step-time 0.28s  loss 51.523 ppl 3452.09
Epoch(75)   step-time 0.27s  loss 46.571 ppl 3370.69
Epoch(76)   step-time 0.28s  loss 46.773 ppl 3607.39
Epoch(77)   step-time 0.26s  loss 49.298 ppl 3330.69
Epoch(78)   step-time 0.27s  loss 45.997 ppl 3477.43
Epoch(79)   step-time 0.27s  loss 48.620 ppl 3935.94
Epoch(80)   step-time 0.31s  loss 48.430 ppl 3608.47
Epoch(81)   step-time 0.32s  loss 48.543 ppl 3431.68
Epoch(82)   step-time 0.31s  loss 45.424 ppl 3172.29
Epoch(83)   step-time 0.31s  loss 41.758 ppl 3165.95
Epoch(84)   step-time 0.29s  loss 41.918 ppl 3531.87
Epoch(85)   step-time 0.31s  loss 41.698 ppl 3392.40
Epoch(86)   step-time 0.28s  loss 41.246 ppl 3351.47
Epoch(87)   step-time 0.29s  loss 42.106 ppl 3309.38
Epoch(88)   step-time 0.28s  loss 39.093 ppl 3215.02
Epoch(89)   step-time 0.29s  loss 42.957 ppl 3183.40
Epoch(90)   step-time 0.28s  loss 43.564 ppl 3034.86
Epoch(91)   step-time 0.27s  loss 40.536 ppl 3091.87
Epoch(92)   step-time 0.27s  loss 40.974 ppl 2940.89
Epoch(93)   step-time 0.27s  loss 36.484 ppl 3287.38
Epoch(94)   step-time 0.27s  loss 37.933 ppl 3496.55
Epoch(95)   step-time 0.27s  loss 36.994 ppl 3226.28
Epoch(96)   step-time 0.28s  loss 39.791 ppl 3271.95
Epoch(97)   step-time 0.27s  loss 36.287 ppl 3034.45
