Epoch(1)   step-time 13.70s  loss 4024.298 ppl 5629.82
Epoch(2)   step-time 2.81s  loss 1893.628 ppl 5805.09
Epoch(3)   step-time 1.85s  loss 1282.867 ppl 6679.95
Epoch(4)   step-time 1.38s  loss 1064.691 ppl 4917.35
Epoch(5)   step-time 1.17s  loss 774.140 ppl 5043.06
Epoch(6)   step-time 0.94s  loss 679.898 ppl 6336.32
Epoch(7)   step-time 0.79s  loss 545.896 ppl 5259.95
Epoch(8)   step-time 0.69s  loss 484.565 ppl 5304.86
Epoch(9)   step-time 0.62s  loss 401.385 ppl 4451.91
Epoch(10)   step-time 0.56s  loss 396.392 ppl 5225.90
Epoch(11)   step-time 0.49s  loss 372.875 ppl 4875.50
Epoch(12)   step-time 0.46s  loss 295.852 ppl 4504.56
Epoch(13)   step-time 0.43s  loss 274.137 ppl 4297.00
Epoch(14)   step-time 0.37s  loss 264.408 ppl 4336.83
Epoch(15)   step-time 0.35s  loss 265.842 ppl 4347.57
Epoch(16)   step-time 0.33s  loss 219.521 ppl 4459.10
Epoch(17)   step-time 0.31s  loss 212.436 ppl 4355.25
Epoch(18)   step-time 0.29s  loss 200.815 ppl 4388.42
Epoch(19)   step-time 0.28s  loss 212.029 ppl 4493.20
Epoch(20)   step-time 0.27s  loss 186.525 ppl 4372.78
Epoch(21)   step-time 0.25s  loss 191.957 ppl 4361.83
Epoch(22)   step-time 0.24s  loss 176.352 ppl 4437.00
Epoch(23)   step-time 0.24s  loss 152.836 ppl 4146.04
Epoch(24)   step-time 0.22s  loss 156.103 ppl 4204.94
Epoch(25)   step-time 0.21s  loss 141.537 ppl 4746.47
Epoch(26)   step-time 0.21s  loss 133.035 ppl 4806.56
Epoch(27)   step-time 0.20s  loss 147.761 ppl 4365.04
Epoch(28)   step-time 0.19s  loss 134.068 ppl 4275.19
Epoch(29)   step-time 0.19s  loss 135.056 ppl 4310.78
Epoch(30)   step-time 0.17s  loss 119.718 ppl 4240.28
Epoch(31)   step-time 0.17s  loss 125.885 ppl 4493.66
Epoch(32)   step-time 0.17s  loss 115.086 ppl 4233.95
Epoch(33)   step-time 0.16s  loss 119.118 ppl 4138.86
Epoch(34)   step-time 0.15s  loss 104.119 ppl 4397.23
Epoch(35)   step-time 0.15s  loss 110.800 ppl 4040.16
Epoch(36)   step-time 0.14s  loss 102.899 ppl 4123.37
Epoch(37)   step-time 0.14s  loss 96.118 ppl 3983.33
Epoch(38)   step-time 0.14s  loss 91.694 ppl 4341.16
Epoch(39)   step-time 0.14s  loss 100.682 ppl 4174.57
Epoch(40)   step-time 0.14s  loss 103.952 ppl 4022.06
Epoch(41)   step-time 0.13s  loss 91.311 ppl 4103.06
Epoch(42)   step-time 0.13s  loss 89.291 ppl 4401.90
Epoch(43)   step-time 0.13s  loss 90.184 ppl 3699.30
Epoch(44)   step-time 0.13s  loss 85.736 ppl 3845.67
Epoch(45)   step-time 0.12s  loss 84.434 ppl 4080.93
Epoch(46)   step-time 0.11s  loss 82.346 ppl 3906.96
Epoch(47)   step-time 0.11s  loss 73.139 ppl 3802.85
Epoch(48)   step-time 0.11s  loss 80.113 ppl 4045.90
Epoch(49)   step-time 0.10s  loss 75.845 ppl 3860.84
Epoch(50)   step-time 0.10s  loss 72.151 ppl 3921.37
Epoch(51)   step-time 0.10s  loss 80.169 ppl 3997.32
Epoch(52)   step-time 0.10s  loss 77.008 ppl 3724.40
Epoch(53)   step-time 0.09s  loss 74.589 ppl 3839.20
Epoch(54)   step-time 0.10s  loss 72.738 ppl 3901.80
Epoch(55)   step-time 0.09s  loss 64.614 ppl 4116.23
Epoch(56)   step-time 0.09s  loss 58.608 ppl 3585.53
Epoch(57)   step-time 0.10s  loss 60.081 ppl 3476.79
Epoch(58)   step-time 0.09s  loss 64.563 ppl 3492.30
Epoch(59)   step-time 0.09s  loss 65.630 ppl 3654.75
Epoch(60)   step-time 0.08s  loss 54.904 ppl 3621.18
Epoch(61)   step-time 0.08s  loss 61.137 ppl 3901.36
Epoch(62)   step-time 0.08s  loss 55.752 ppl 4060.80
Epoch(63)   step-time 0.08s  loss 58.429 ppl 3701.73
Epoch(64)   step-time 0.08s  loss 57.481 ppl 3246.33
Epoch(65)   step-time 0.08s  loss 57.068 ppl 3535.21
Epoch(66)   step-time 0.08s  loss 53.360 ppl 3674.80
Epoch(67)   step-time 0.08s  loss 57.649 ppl 3342.67
Epoch(68)   step-time 0.07s  loss 56.580 ppl 3718.26
Epoch(69)   step-time 0.08s  loss 54.786 ppl 3221.06
Epoch(70)   step-time 0.07s  loss 55.282 ppl 3393.88
Epoch(71)   step-time 0.07s  loss 50.551 ppl 3361.64
Epoch(72)   step-time 0.07s  loss 52.851 ppl 3339.57
Epoch(73)   step-time 0.07s  loss 51.534 ppl 3262.56
Epoch(74)   step-time 0.07s  loss 49.615 ppl 3370.48
Epoch(75)   step-time 0.07s  loss 49.072 ppl 3376.42
Epoch(76)   step-time 0.07s  loss 46.312 ppl 3390.29
Epoch(77)   step-time 0.07s  loss 47.151 ppl 3025.04
Epoch(78)   step-time 0.06s  loss 46.743 ppl 3242.70
Epoch(79)   step-time 0.06s  loss 46.202 ppl 3213.46
Epoch(80)   step-time 0.07s  loss 42.443 ppl 3575.34
Epoch(81)   step-time 0.06s  loss 45.980 ppl 3225.97
