Epoch(1)   step-time 18.65s  loss 3998.227 ppl 5226.58
Epoch(2)   step-time 5.91s  loss 2023.879 ppl 4677.10
Epoch(3)   step-time 3.81s  loss 1282.681 ppl 5075.85
Epoch(4)   step-time 2.90s  loss 949.195 ppl 5075.05
Epoch(5)   step-time 2.33s  loss 722.842 ppl 5137.05
Epoch(6)   step-time 1.90s  loss 634.310 ppl 4710.13
Epoch(7)   step-time 1.73s  loss 508.463 ppl 5197.12
Epoch(8)   step-time 1.46s  loss 468.898 ppl 5041.30
Epoch(9)   step-time 1.29s  loss 441.926 ppl 4649.20
Epoch(10)   step-time 1.16s  loss 383.355 ppl 4734.29
Epoch(11)   step-time 1.06s  loss 304.832 ppl 4281.20
Epoch(12)   step-time 0.96s  loss 327.413 ppl 4845.75
Epoch(13)   step-time 0.90s  loss 308.269 ppl 4696.81
Epoch(14)   step-time 0.83s  loss 277.887 ppl 4709.89
Epoch(15)   step-time 0.77s  loss 257.949 ppl 4666.32
Epoch(16)   step-time 0.73s  loss 248.407 ppl 4229.42
Epoch(17)   step-time 0.68s  loss 206.340 ppl 4410.92
Epoch(18)   step-time 0.65s  loss 233.391 ppl 4382.19
Epoch(19)   step-time 0.61s  loss 199.770 ppl 4274.41
Epoch(20)   step-time 0.57s  loss 191.132 ppl 4292.52
Epoch(21)   step-time 0.56s  loss 167.820 ppl 4496.46
Epoch(22)   step-time 0.52s  loss 185.465 ppl 4427.21
Epoch(23)   step-time 0.50s  loss 153.398 ppl 4448.67
Epoch(24)   step-time 0.49s  loss 147.170 ppl 4490.44
Epoch(25)   step-time 0.47s  loss 141.789 ppl 3730.92
Epoch(26)   step-time 0.44s  loss 145.684 ppl 4050.24
Epoch(27)   step-time 0.43s  loss 148.800 ppl 4241.15
Epoch(28)   step-time 0.41s  loss 128.490 ppl 4138.32
Epoch(29)   step-time 0.40s  loss 127.718 ppl 3967.72
Epoch(30)   step-time 0.40s  loss 131.062 ppl 4147.32
Epoch(31)   step-time 0.40s  loss 116.071 ppl 3696.28
Epoch(32)   step-time 0.35s  loss 116.006 ppl 4042.80
Epoch(33)   step-time 0.34s  loss 111.256 ppl 4369.06
Epoch(34)   step-time 0.33s  loss 115.283 ppl 3768.77
Epoch(35)   step-time 0.32s  loss 100.013 ppl 3925.63
Epoch(36)   step-time 0.31s  loss 103.408 ppl 3706.40
Epoch(37)   step-time 0.30s  loss 98.355 ppl 3982.41
Epoch(38)   step-time 0.30s  loss 94.166 ppl 4192.36
Epoch(39)   step-time 0.29s  loss 99.340 ppl 3937.60
Epoch(40)   step-time 0.28s  loss 91.251 ppl 4240.93
Epoch(41)   step-time 0.27s  loss 98.328 ppl 3805.64
Epoch(42)   step-time 0.27s  loss 84.542 ppl 3856.70
Epoch(43)   step-time 0.26s  loss 88.369 ppl 4235.93
Epoch(44)   step-time 0.27s  loss 80.284 ppl 3992.95
Epoch(45)   step-time 0.25s  loss 85.131 ppl 3920.98
Epoch(46)   step-time 0.25s  loss 87.350 ppl 4101.32
Epoch(47)   step-time 0.24s  loss 78.139 ppl 3838.85
Epoch(48)   step-time 0.23s  loss 81.850 ppl 4120.69
Epoch(49)   step-time 0.23s  loss 79.938 ppl 3948.66
Epoch(50)   step-time 0.22s  loss 75.719 ppl 3753.04
Epoch(51)   step-time 0.22s  loss 70.119 ppl 4090.61
Epoch(52)   step-time 0.22s  loss 72.694 ppl 3575.85
Epoch(53)   step-time 0.23s  loss 67.674 ppl 3533.96
Epoch(54)   step-time 0.21s  loss 68.732 ppl 3819.23
Epoch(55)   step-time 0.20s  loss 62.489 ppl 3650.68
Epoch(56)   step-time 0.21s  loss 64.327 ppl 3463.41
Epoch(57)   step-time 0.20s  loss 64.277 ppl 3628.04
Epoch(58)   step-time 0.20s  loss 64.906 ppl 3646.85
Epoch(59)   step-time 0.20s  loss 60.424 ppl 3426.35
Epoch(60)   step-time 0.20s  loss 59.679 ppl 3422.33
Epoch(61)   step-time 0.19s  loss 58.628 ppl 3650.16
Epoch(62)   step-time 0.18s  loss 58.500 ppl 3731.29
Epoch(63)   step-time 0.18s  loss 56.264 ppl 3590.95
Epoch(64)   step-time 0.18s  loss 56.877 ppl 3568.93
Epoch(65)   step-time 0.18s  loss 51.267 ppl 3524.82
Epoch(66)   step-time 0.18s  loss 57.633 ppl 3446.65
Epoch(67)   step-time 0.18s  loss 51.397 ppl 3431.99
Epoch(68)   step-time 0.17s  loss 55.402 ppl 3478.54
Epoch(69)   step-time 146.17s  loss 50.652 ppl 3324.46
Epoch(70)   step-time 0.19s  loss 50.721 ppl 3504.92
Epoch(71)   step-time 0.17s  loss 53.088 ppl 3200.94
Epoch(72)   step-time 0.16s  loss 49.379 ppl 3478.31
Epoch(73)   step-time 0.16s  loss 47.726 ppl 3563.02
Epoch(74)   step-time 0.16s  loss 45.109 ppl 3301.54
Epoch(75)   step-time 0.16s  loss 45.218 ppl 3211.92
Epoch(76)   step-time 0.16s  loss 46.187 ppl 3255.07
Epoch(77)   step-time 0.15s  loss 42.307 ppl 3306.58
Epoch(78)   step-time 0.15s  loss 46.530 ppl 3298.45
Epoch(79)   step-time 0.15s  loss 40.933 ppl 3178.24
Epoch(80)   step-time 0.15s  loss 45.044 ppl 3227.81
Epoch(81)   step-time 0.16s  loss 42.333 ppl 3315.26
Epoch(82)   step-time 0.16s  loss 43.762 ppl 3177.73
Epoch(83)   step-time 0.14s  loss 42.901 ppl 3210.87
Epoch(84)   step-time 0.14s  loss 41.842 ppl 3228.49
Epoch(85)   step-time 0.13s  loss 42.888 ppl 3125.44
Epoch(86)   step-time 0.14s  loss 43.773 ppl 2958.58
