Epoch(1)   step-time 11.29s  loss 3798.948 ppl 5099.83
Epoch(2)   step-time 2.41s  loss 1895.729 ppl 4648.15
Epoch(3)   step-time 1.47s  loss 1378.089 ppl 4696.33
Epoch(4)   step-time 1.09s  loss 1030.636 ppl 4829.99
Epoch(5)   step-time 0.86s  loss 790.605 ppl 4659.38
Epoch(6)   step-time 0.70s  loss 634.407 ppl 4377.51
Epoch(7)   step-time 0.60s  loss 602.754 ppl 4544.68
Epoch(8)   step-time 0.52s  loss 485.896 ppl 4591.81
Epoch(9)   step-time 0.49s  loss 399.769 ppl 4303.84
Epoch(10)   step-time 0.43s  loss 419.752 ppl 4985.29
Epoch(11)   step-time 0.38s  loss 337.754 ppl 4388.22
Epoch(12)   step-time 0.35s  loss 299.729 ppl 5238.00
Epoch(13)   step-time 0.32s  loss 282.340 ppl 4708.75
Epoch(14)   step-time 0.31s  loss 281.548 ppl 4630.49
Epoch(15)   step-time 0.29s  loss 248.802 ppl 4557.11
Epoch(16)   step-time 0.26s  loss 248.703 ppl 4668.10
Epoch(17)   step-time 0.25s  loss 227.452 ppl 4473.16
Epoch(18)   step-time 0.25s  loss 221.986 ppl 4748.51
Epoch(19)   step-time 0.22s  loss 210.321 ppl 4198.88
Epoch(20)   step-time 0.21s  loss 191.345 ppl 4935.46
Epoch(21)   step-time 0.20s  loss 173.057 ppl 4331.82
Epoch(22)   step-time 0.19s  loss 165.852 ppl 4479.45
Epoch(23)   step-time 0.18s  loss 172.963 ppl 4574.63
Epoch(24)   step-time 0.18s  loss 161.336 ppl 4695.04
Epoch(25)   step-time 0.17s  loss 157.773 ppl 4573.51
Epoch(26)   step-time 0.16s  loss 142.046 ppl 4591.43
Epoch(27)   step-time 0.15s  loss 142.149 ppl 4127.43
Epoch(28)   step-time 0.15s  loss 138.367 ppl 4465.11
Epoch(29)   step-time 0.15s  loss 137.883 ppl 4528.33
Epoch(30)   step-time 0.14s  loss 131.854 ppl 4361.37
Epoch(31)   step-time 0.14s  loss 131.066 ppl 3991.61
Epoch(32)   step-time 0.13s  loss 113.865 ppl 4514.02
Epoch(33)   step-time 0.13s  loss 115.143 ppl 4082.53
Epoch(34)   step-time 0.13s  loss 110.607 ppl 4030.53
Epoch(35)   step-time 0.12s  loss 115.925 ppl 3945.51
Epoch(36)   step-time 0.12s  loss 95.941 ppl 3954.79
Epoch(37)   step-time 0.11s  loss 102.297 ppl 4757.76
Epoch(38)   step-time 0.11s  loss 100.983 ppl 3638.95
Epoch(39)   step-time 0.11s  loss 88.560 ppl 4033.76
Epoch(40)   step-time 0.11s  loss 97.264 ppl 3867.03
Epoch(41)   step-time 0.10s  loss 91.464 ppl 4238.30
Epoch(42)   step-time 0.10s  loss 92.415 ppl 3928.49
Epoch(43)   step-time 0.10s  loss 85.788 ppl 4057.25
Epoch(44)   step-time 0.10s  loss 86.405 ppl 4177.06
Epoch(45)   step-time 0.09s  loss 85.243 ppl 3825.20
Epoch(46)   step-time 0.09s  loss 87.761 ppl 4120.58
Epoch(47)   step-time 0.09s  loss 76.282 ppl 3869.84
Epoch(48)   step-time 0.09s  loss 81.878 ppl 3989.60
Epoch(49)   step-time 0.09s  loss 73.537 ppl 3883.25
Epoch(50)   step-time 0.08s  loss 75.892 ppl 3499.74
Epoch(51)   step-time 0.08s  loss 68.655 ppl 4174.18
Epoch(52)   step-time 0.08s  loss 69.592 ppl 3731.31
Epoch(53)   step-time 0.08s  loss 69.634 ppl 3781.66
Epoch(54)   step-time 0.08s  loss 63.308 ppl 3427.73
Epoch(55)   step-time 0.08s  loss 64.630 ppl 3346.19
Epoch(56)   step-time 0.08s  loss 66.973 ppl 3732.41
Epoch(57)   step-time 0.07s  loss 66.368 ppl 3598.59
Epoch(58)   step-time 0.07s  loss 63.827 ppl 4101.06
Epoch(59)   step-time 0.07s  loss 64.403 ppl 3358.16
Epoch(60)   step-time 0.07s  loss 60.297 ppl 3333.26
Epoch(61)   step-time 0.07s  loss 63.604 ppl 3526.80
Epoch(62)   step-time 0.07s  loss 60.376 ppl 3740.93
Epoch(63)   step-time 0.07s  loss 58.269 ppl 3489.83
Epoch(64)   step-time 0.07s  loss 57.622 ppl 3371.08
Epoch(65)   step-time 0.06s  loss 57.652 ppl 3706.85
Epoch(66)   step-time 0.06s  loss 55.001 ppl 3364.40
Epoch(67)   step-time 0.06s  loss 55.472 ppl 3657.33
Epoch(68)   step-time 0.06s  loss 48.985 ppl 3512.89
Epoch(69)   step-time 0.06s  loss 52.396 ppl 3375.51
Epoch(70)   step-time 0.06s  loss 54.127 ppl 3338.63
Epoch(71)   step-time 0.06s  loss 51.485 ppl 3560.93
Epoch(72)   step-time 0.06s  loss 49.677 ppl 3391.08
Epoch(73)   step-time 0.06s  loss 50.949 ppl 3485.24
Epoch(74)   step-time 0.06s  loss 52.828 ppl 3329.53
Epoch(75)   step-time 0.06s  loss 51.178 ppl 3401.83
Epoch(76)   step-time 0.06s  loss 50.370 ppl 3109.57
Epoch(77)   step-time 0.05s  loss 45.810 ppl 3262.59
Epoch(78)   step-time 0.06s  loss 48.308 ppl 3305.02
Epoch(79)   step-time 0.06s  loss 41.389 ppl 3272.80
Epoch(80)   step-time 0.05s  loss 43.693 ppl 3146.25
Epoch(81)   step-time 0.05s  loss 46.645 ppl 3152.51
Epoch(82)   step-time 0.05s  loss 41.999 ppl 3064.66
Epoch(83)   step-time 0.05s  loss 45.346 ppl 3391.51
Epoch(84)   step-time 0.05s  loss 44.662 ppl 3304.04
Epoch(85)   step-time 0.05s  loss 41.893 ppl 2986.90
Epoch(86)   step-time 0.05s  loss 44.912 ppl 3176.26
Epoch(87)   step-time 0.05s  loss 41.656 ppl 3089.14
Epoch(88)   step-time 0.05s  loss 38.406 ppl 3124.59
Epoch(89)   step-time 0.05s  loss 42.018 ppl 3163.45
Epoch(90)   step-time 0.05s  loss 38.832 ppl 3142.15
Epoch(91)   step-time 0.05s  loss 39.931 ppl 2888.94
Epoch(92)   step-time 0.05s  loss 38.756 ppl 2964.41
Epoch(93)   step-time 0.05s  loss 36.538 ppl 3081.45
Epoch(94)   step-time 0.05s  loss 38.860 ppl 3233.83
Epoch(95)   step-time 0.04s  loss 39.423 ppl 2792.49
Epoch(96)   step-time 0.04s  loss 38.332 ppl 2829.64
Epoch(97)   step-time 0.04s  loss 35.794 ppl 2770.83
Epoch(98)   step-time 0.04s  loss 34.096 ppl 2746.65
Epoch(99)   step-time 0.04s  loss 34.819 ppl 2665.12
Epoch(100)   step-time 0.04s  loss 34.381 ppl 2808.19
Epoch(101)   step-time 0.04s  loss 37.206 ppl 2682.89
