Epoch(1)   step-time 12.94s  loss 3944.776 ppl 5014.22
Epoch(2)   step-time 2.62s  loss 2171.760 ppl 8196.42
Epoch(3)   step-time 1.73s  loss 1272.689 ppl 4172.99
Epoch(4)   step-time 1.37s  loss 932.081 ppl 4270.42
Epoch(5)   step-time 1.05s  loss 748.080 ppl 3998.07
Epoch(6)   step-time 0.87s  loss 562.994 ppl 3427.78
Epoch(7)   step-time 0.82s  loss 537.778 ppl 3456.98
Epoch(8)   step-time 0.67s  loss 426.286 ppl 3493.24
Epoch(9)   step-time 0.60s  loss 400.525 ppl 2856.80
Epoch(10)   step-time 0.55s  loss 332.087 ppl 2767.50
Epoch(11)   step-time 0.51s  loss 310.093 ppl 3177.65
Epoch(12)   step-time 0.46s  loss 297.839 ppl 3076.74
Epoch(13)   step-time 0.41s  loss 265.060 ppl 2609.89
Epoch(14)   step-time 0.38s  loss 252.303 ppl 2520.06
Epoch(15)   step-time 0.36s  loss 229.210 ppl 2474.93
Epoch(16)   step-time 0.33s  loss 220.274 ppl 2434.08
Epoch(17)   step-time 0.31s  loss 203.422 ppl 2330.33
Epoch(18)   step-time 0.30s  loss 189.085 ppl 2026.71
Epoch(19)   step-time 0.28s  loss 176.514 ppl 2190.99
Epoch(20)   step-time 0.26s  loss 169.793 ppl 1992.25
Epoch(21)   step-time 0.25s  loss 163.589 ppl 2252.79
Epoch(22)   step-time 0.24s  loss 166.185 ppl 1968.82
Epoch(23)   step-time 0.23s  loss 149.286 ppl 1832.23
Epoch(24)   step-time 0.22s  loss 149.865 ppl 1740.87
Epoch(25)   step-time 0.22s  loss 131.525 ppl 1852.57
Epoch(26)   step-time 0.20s  loss 137.307 ppl 1646.86
Epoch(27)   step-time 0.20s  loss 129.574 ppl 1555.88
Epoch(28)   step-time 0.19s  loss 117.606 ppl 1556.80
Epoch(29)   step-time 0.18s  loss 120.395 ppl 1581.19
Epoch(30)   step-time 0.17s  loss 104.277 ppl 1396.18
Epoch(31)   step-time 0.17s  loss 101.719 ppl 1406.62
Epoch(32)   step-time 0.17s  loss 107.802 ppl 1362.18
Epoch(33)   step-time 0.16s  loss 99.832 ppl 1269.45
Epoch(34)   step-time 0.15s  loss 96.690 ppl 1212.37
Epoch(35)   step-time 0.15s  loss 97.144 ppl 1303.84
Epoch(36)   step-time 0.15s  loss 82.768 ppl 1246.83
Epoch(37)   step-time 0.14s  loss 85.900 ppl 1149.66
Epoch(38)   step-time 0.14s  loss 82.242 ppl 1195.83
Epoch(39)   step-time 0.14s  loss 81.800 ppl 1144.10
Epoch(40)   step-time 0.14s  loss 78.752 ppl 1079.93
Epoch(41)   step-time 0.13s  loss 76.166 ppl 985.99
Epoch(42)   step-time 0.12s  loss 76.537 ppl 975.94
Epoch(43)   step-time 0.12s  loss 68.833 ppl 991.62
Epoch(44)   step-time 0.12s  loss 69.435 ppl 901.76
Epoch(45)   step-time 0.12s  loss 73.503 ppl 866.13
Epoch(46)   step-time 0.11s  loss 63.077 ppl 852.11
Epoch(47)   step-time 0.11s  loss 70.660 ppl 842.48
Epoch(48)   step-time 0.11s  loss 56.386 ppl 811.90
Epoch(49)   step-time 0.11s  loss 60.999 ppl 778.11
Epoch(50)   step-time 0.11s  loss 57.872 ppl 739.77
