Epoch(1)   step-time 40.55s  loss 4262.002 ppl 5681.86
Epoch(2)   step-time 16.96s  loss 1968.948 ppl 5420.94
Epoch(3)   step-time 10.25s  loss 1172.067 ppl 6023.76
Epoch(4)   step-time 7.85s  loss 984.829 ppl 4777.38
Epoch(5)   step-time 6.36s  loss 689.685 ppl 3679.51
Epoch(6)   step-time 5.27s  loss 646.127 ppl 4029.59
Epoch(7)   step-time 4.55s  loss 565.669 ppl 3959.44
Epoch(8)   step-time 3.81s  loss 494.526 ppl 3373.27
Epoch(9)   step-time 3.55s  loss 369.388 ppl 3257.76
Epoch(10)   step-time 3.06s  loss 376.021 ppl 3425.41
Epoch(11)   step-time 2.81s  loss 298.319 ppl 3508.51
Epoch(12)   step-time 2.62s  loss 315.911 ppl 3129.65
Epoch(13)   step-time 2.58s  loss 284.430 ppl 2840.67
Epoch(14)   step-time 2.16s  loss 250.224 ppl 2718.31
Epoch(15)   step-time 2.02s  loss 234.304 ppl 2739.91
Epoch(16)   step-time 1.88s  loss 226.163 ppl 2564.39
Epoch(17)   step-time 1.73s  loss 200.975 ppl 2485.55
Epoch(18)   step-time 1.72s  loss 180.349 ppl 2495.77
Epoch(19)   step-time 1.58s  loss 165.155 ppl 2361.88
Epoch(20)   step-time 1.53s  loss 182.806 ppl 2201.93
Epoch(21)   step-time 1.43s  loss 165.115 ppl 2182.62
Epoch(22)   step-time 1.39s  loss 155.869 ppl 2109.61
Epoch(23)   step-time 1.36s  loss 151.092 ppl 2040.36
Epoch(24)   step-time 1.25s  loss 145.839 ppl 2016.22
Epoch(25)   step-time 1.20s  loss 133.647 ppl 1985.43
Epoch(26)   step-time 1.21s  loss 134.811 ppl 1908.48
Epoch(27)   step-time 1.14s  loss 119.421 ppl 1774.26
Epoch(28)   step-time 1.04s  loss 123.045 ppl 1599.49
Epoch(29)   step-time 1.00s  loss 112.477 ppl 1657.79
Epoch(30)   step-time 0.98s  loss 113.218 ppl 1662.40
Epoch(31)   step-time 0.93s  loss 103.499 ppl 1596.86
Epoch(32)   step-time 0.92s  loss 103.876 ppl 1537.39
Epoch(33)   step-time 0.88s  loss 98.484 ppl 1461.07
Epoch(34)   step-time 0.86s  loss 98.855 ppl 1377.64
Epoch(35)   step-time 0.83s  loss 91.676 ppl 1444.99
Epoch(36)   step-time 0.81s  loss 91.055 ppl 1366.84
Epoch(37)   step-time 0.79s  loss 90.414 ppl 1271.75
Epoch(38)   step-time 0.76s  loss 90.802 ppl 1266.24
Epoch(39)   step-time 0.77s  loss 82.667 ppl 1158.30
Epoch(40)   step-time 0.72s  loss 78.854 ppl 1178.64
Epoch(41)   step-time 0.70s  loss 72.495 ppl 1126.28
Epoch(42)   step-time 0.69s  loss 71.890 ppl 1120.82
Epoch(43)   step-time 0.68s  loss 76.790 ppl 1029.55
Epoch(44)   step-time 0.67s  loss 72.177 ppl 1042.32
Epoch(45)   step-time 0.64s  loss 65.215 ppl 1047.50
Epoch(46)   step-time 0.63s  loss 66.106 ppl 900.45
Epoch(47)   step-time 0.62s  loss 62.487 ppl 896.42
Epoch(48)   step-time 0.60s  loss 60.270 ppl 875.75
Epoch(49)   step-time 0.60s  loss 64.367 ppl 922.21
Epoch(50)   step-time 0.59s  loss 55.374 ppl 828.94
Epoch(51)   step-time 0.57s  loss 56.273 ppl 842.97
Epoch(52)   step-time 0.56s  loss 59.200 ppl 817.96
Epoch(53)   step-time 0.57s  loss 59.243 ppl 774.55
Epoch(54)   step-time 0.54s  loss 50.967 ppl 735.12
Epoch(55)   step-time 0.53s  loss 52.113 ppl 738.21
Epoch(56)   step-time 0.52s  loss 51.689 ppl 708.88
Epoch(57)   step-time 0.52s  loss 48.092 ppl 704.88
Epoch(58)   step-time 0.50s  loss 52.505 ppl 642.66
Epoch(59)   step-time 0.49s  loss 50.160 ppl 667.99
Epoch(60)   step-time 0.48s  loss 52.027 ppl 607.80
Epoch(61)   step-time 0.48s  loss 44.905 ppl 575.64
Epoch(62)   step-time 0.47s  loss 42.799 ppl 598.30
Epoch(63)   step-time 0.46s  loss 40.566 ppl 576.76
Epoch(64)   step-time 0.46s  loss 43.718 ppl 530.32
Epoch(65)   step-time 0.45s  loss 42.964 ppl 524.07
Epoch(66)   step-time 0.44s  loss 39.353 ppl 522.42
Epoch(67)   step-time 0.45s  loss 41.264 ppl 478.74
Epoch(68)   step-time 0.42s  loss 44.109 ppl 497.68
Epoch(69)   step-time 0.42s  loss 41.361 ppl 445.02
Epoch(70)   step-time 0.41s  loss 40.831 ppl 454.99
Epoch(71)   step-time 0.41s  loss 38.111 ppl 431.38
Epoch(72)   step-time 0.40s  loss 40.840 ppl 408.80
Epoch(73)   step-time 0.39s  loss 37.963 ppl 402.84
Epoch(74)   step-time 0.39s  loss 37.220 ppl 393.29
Epoch(75)   step-time 0.39s  loss 36.517 ppl 385.24
Epoch(76)   step-time 0.38s  loss 36.901 ppl 380.60
Epoch(77)   step-time 0.38s  loss 34.146 ppl 363.26
Epoch(78)   step-time 0.37s  loss 34.832 ppl 367.36
Epoch(79)   step-time 0.37s  loss 33.982 ppl 325.64
Epoch(80)   step-time 0.36s  loss 34.449 ppl 339.19
Epoch(81)   step-time 0.36s  loss 30.714 ppl 321.26
