Epoch(1)   step-time 11.29s  loss 3916.146 ppl 4628.41
Epoch(2)   step-time 2.56s  loss 1760.082 ppl 4453.05
Epoch(3)   step-time 1.62s  loss 1190.110 ppl 4539.59
Epoch(4)   step-time 1.23s  loss 925.469 ppl 5163.47
Epoch(5)   step-time 1.00s  loss 710.238 ppl 4425.97
Epoch(6)   step-time 0.82s  loss 657.420 ppl 4336.31
Epoch(7)   step-time 0.69s  loss 494.498 ppl 4454.50
Epoch(8)   step-time 0.69s  loss 475.219 ppl 5132.10
Epoch(9)   step-time 0.55s  loss 431.284 ppl 4219.30
Epoch(10)   step-time 0.50s  loss 360.848 ppl 4497.91
Epoch(11)   step-time 0.46s  loss 352.817 ppl 4448.92
Epoch(12)   step-time 0.43s  loss 303.383 ppl 4396.03
Epoch(13)   step-time 0.41s  loss 285.750 ppl 4300.81
Epoch(14)   step-time 0.36s  loss 252.148 ppl 4294.61
Epoch(15)   step-time 0.33s  loss 240.153 ppl 4347.85
Epoch(16)   step-time 0.32s  loss 238.527 ppl 4312.92
Epoch(17)   step-time 0.30s  loss 224.073 ppl 4657.35
Epoch(18)   step-time 0.28s  loss 211.508 ppl 4225.90
Epoch(19)   step-time 0.26s  loss 210.396 ppl 3930.14
Epoch(20)   step-time 0.26s  loss 192.011 ppl 4628.68
Epoch(21)   step-time 0.24s  loss 159.892 ppl 4330.42
Epoch(22)   step-time 0.23s  loss 164.357 ppl 4760.16
Epoch(23)   step-time 0.22s  loss 160.576 ppl 4254.71
Epoch(24)   step-time 0.21s  loss 151.057 ppl 4587.57
Epoch(25)   step-time 0.20s  loss 150.574 ppl 4294.96
Epoch(26)   step-time 0.19s  loss 134.597 ppl 3994.57
Epoch(27)   step-time 0.19s  loss 143.563 ppl 4323.90
Epoch(28)   step-time 0.18s  loss 130.920 ppl 4312.58
Epoch(29)   step-time 0.18s  loss 141.005 ppl 4210.00
Epoch(30)   step-time 0.17s  loss 117.112 ppl 4381.31
Epoch(31)   step-time 0.16s  loss 127.913 ppl 4296.80
Epoch(32)   step-time 0.16s  loss 118.393 ppl 4367.02
Epoch(33)   step-time 0.15s  loss 101.514 ppl 3991.85
Epoch(34)   step-time 0.15s  loss 121.572 ppl 3829.26
Epoch(35)   step-time 0.15s  loss 101.121 ppl 4388.78
Epoch(36)   step-time 0.14s  loss 99.304 ppl 4080.02
Epoch(37)   step-time 0.14s  loss 102.364 ppl 4198.15
Epoch(38)   step-time 0.13s  loss 93.737 ppl 3883.43
Epoch(39)   step-time 0.13s  loss 90.507 ppl 4207.46
Epoch(40)   step-time 0.13s  loss 100.483 ppl 3972.98
Epoch(41)   step-time 0.12s  loss 94.211 ppl 4124.55
Epoch(42)   step-time 0.12s  loss 86.257 ppl 4061.05
Epoch(43)   step-time 0.12s  loss 79.923 ppl 3948.87
Epoch(44)   step-time 0.11s  loss 80.282 ppl 3992.16
Epoch(45)   step-time 0.11s  loss 88.518 ppl 3882.05
Epoch(46)   step-time 0.11s  loss 84.789 ppl 4017.69
Epoch(47)   step-time 0.10s  loss 80.453 ppl 3460.90
Epoch(48)   step-time 0.10s  loss 80.100 ppl 3763.11
Epoch(49)   step-time 0.10s  loss 77.101 ppl 3822.84
Epoch(50)   step-time 0.10s  loss 77.162 ppl 3609.22
Epoch(51)   step-time 0.10s  loss 71.196 ppl 3983.59
Epoch(52)   step-time 0.09s  loss 66.184 ppl 3620.09
Epoch(53)   step-time 0.09s  loss 68.755 ppl 4103.60
Epoch(54)   step-time 0.09s  loss 69.327 ppl 3953.76
Epoch(55)   step-time 0.09s  loss 71.266 ppl 3971.04
Epoch(56)   step-time 0.09s  loss 68.120 ppl 3786.12
Epoch(57)   step-time 0.09s  loss 60.454 ppl 3657.48
Epoch(58)   step-time 0.09s  loss 62.665 ppl 3867.41
Epoch(59)   step-time 0.09s  loss 65.221 ppl 3856.99
Epoch(60)   step-time 0.08s  loss 62.963 ppl 3558.27
Epoch(61)   step-time 0.08s  loss 58.104 ppl 3799.63
Epoch(62)   step-time 0.09s  loss 61.456 ppl 3494.95
Epoch(63)   step-time 0.08s  loss 59.903 ppl 3591.62
Epoch(64)   step-time 0.08s  loss 60.815 ppl 3557.41
Epoch(65)   step-time 0.08s  loss 56.669 ppl 3654.53
Epoch(66)   step-time 0.08s  loss 57.461 ppl 3608.03
Epoch(67)   step-time 0.08s  loss 57.972 ppl 3683.95
Epoch(68)   step-time 0.07s  loss 55.977 ppl 3406.41
Epoch(69)   step-time 0.07s  loss 57.173 ppl 3584.86
Epoch(70)   step-time 0.08s  loss 54.522 ppl 3480.66
Epoch(71)   step-time 0.07s  loss 48.166 ppl 3573.75
Epoch(72)   step-time 0.07s  loss 49.086 ppl 3710.81
Epoch(73)   step-time 0.07s  loss 50.943 ppl 3243.34
Epoch(74)   step-time 0.07s  loss 50.463 ppl 3295.73
Epoch(75)   step-time 0.07s  loss 51.632 ppl 3412.72
Epoch(76)   step-time 0.07s  loss 45.696 ppl 3471.52
Epoch(77)   step-time 0.07s  loss 48.151 ppl 3651.14
Epoch(78)   step-time 0.07s  loss 45.430 ppl 3323.40
Epoch(79)   step-time 0.06s  loss 46.368 ppl 3368.28
Epoch(80)   step-time 0.06s  loss 45.255 ppl 3292.35
Epoch(81)   step-time 0.06s  loss 42.140 ppl 2962.36
Epoch(82)   step-time 0.06s  loss 41.879 ppl 3420.49
Epoch(83)   step-time 0.06s  loss 43.191 ppl 3454.20
Epoch(84)   step-time 0.06s  loss 40.415 ppl 3239.24
