Epoch(1)   step-time 12.50s  loss 3813.567 ppl 5169.84
Epoch(2)   step-time 2.64s  loss 2130.365 ppl 10120.91
Epoch(3)   step-time 1.75s  loss 1197.533 ppl 6254.89
Epoch(4)   step-time 1.31s  loss 983.182 ppl 3678.59
Epoch(5)   step-time 1.09s  loss 802.612 ppl 6033.69
Epoch(6)   step-time 0.88s  loss 645.985 ppl 4321.22
Epoch(7)   step-time 0.75s  loss 513.413 ppl 3159.12
Epoch(8)   step-time 0.67s  loss 432.705 ppl 3194.22
Epoch(9)   step-time 0.61s  loss 437.178 ppl 3508.93
Epoch(10)   step-time 0.54s  loss 359.284 ppl 3517.60
Epoch(11)   step-time 0.49s  loss 308.513 ppl 3229.53
Epoch(12)   step-time 0.47s  loss 274.604 ppl 2755.30
Epoch(13)   step-time 0.41s  loss 264.621 ppl 2576.11
Epoch(14)   step-time 0.38s  loss 265.889 ppl 2661.18
Epoch(15)   step-time 0.36s  loss 235.750 ppl 2373.17
Epoch(16)   step-time 0.33s  loss 225.153 ppl 2518.46
Epoch(17)   step-time 0.31s  loss 223.679 ppl 2345.58
Epoch(18)   step-time 0.30s  loss 199.312 ppl 2134.18
Epoch(19)   step-time 0.28s  loss 185.704 ppl 2332.47
Epoch(20)   step-time 0.26s  loss 166.394 ppl 1994.00
Epoch(21)   step-time 0.25s  loss 166.073 ppl 2027.83
Epoch(22)   step-time 0.25s  loss 156.414 ppl 2024.51
Epoch(23)   step-time 0.23s  loss 150.300 ppl 1865.70
Epoch(24)   step-time 0.22s  loss 134.279 ppl 1830.04
Epoch(25)   step-time 0.21s  loss 128.467 ppl 1783.66
Epoch(26)   step-time 0.21s  loss 132.752 ppl 1728.07
Epoch(27)   step-time 0.19s  loss 126.853 ppl 1685.04
Epoch(28)   step-time 0.19s  loss 123.838 ppl 1677.36
Epoch(29)   step-time 0.18s  loss 120.262 ppl 1520.64
Epoch(30)   step-time 0.17s  loss 117.763 ppl 1548.27
Epoch(31)   step-time 0.17s  loss 110.951 ppl 1395.48
Epoch(32)   step-time 0.16s  loss 102.167 ppl 1384.45
Epoch(33)   step-time 0.16s  loss 95.120 ppl 1383.84
Epoch(34)   step-time 0.15s  loss 92.794 ppl 1343.68
Epoch(35)   step-time 0.15s  loss 94.055 ppl 1262.49
Epoch(36)   step-time 0.15s  loss 90.949 ppl 1214.80
Epoch(37)   step-time 0.15s  loss 86.382 ppl 1234.36
Epoch(38)   step-time 0.15s  loss 81.281 ppl 1173.74
Epoch(39)   step-time 0.14s  loss 72.510 ppl 1135.22
Epoch(40)   step-time 0.14s  loss 81.408 ppl 1133.54
Epoch(41)   step-time 0.13s  loss 73.580 ppl 1044.28
Epoch(42)   step-time 0.13s  loss 69.849 ppl 1028.03
Epoch(43)   step-time 0.12s  loss 77.530 ppl 994.56
Epoch(44)   step-time 0.12s  loss 67.412 ppl 974.53
Epoch(45)   step-time 0.12s  loss 65.699 ppl 923.18
Epoch(46)   step-time 0.12s  loss 64.080 ppl 948.72
Epoch(47)   step-time 0.11s  loss 60.668 ppl 888.05
Epoch(48)   step-time 0.11s  loss 66.868 ppl 813.03
Epoch(49)   step-time 0.11s  loss 61.734 ppl 782.81
Epoch(50)   step-time 0.11s  loss 61.477 ppl 821.73
Epoch(51)   step-time 0.10s  loss 58.807 ppl 728.94
Epoch(52)   step-time 0.10s  loss 57.188 ppl 709.55
Epoch(53)   step-time 0.10s  loss 55.000 ppl 699.63
Epoch(54)   step-time 0.10s  loss 55.394 ppl 716.39
Epoch(55)   step-time 0.09s  loss 52.689 ppl 653.92
Epoch(56)   step-time 0.10s  loss 48.351 ppl 650.40
Epoch(57)   step-time 0.10s  loss 49.453 ppl 632.94
Epoch(58)   step-time 0.09s  loss 52.765 ppl 628.19
Epoch(59)   step-time 0.09s  loss 51.227 ppl 572.24
Epoch(60)   step-time 0.09s  loss 47.297 ppl 563.67
Epoch(61)   step-time 0.09s  loss 46.153 ppl 536.08
Epoch(62)   step-time 0.08s  loss 46.753 ppl 509.68
Epoch(63)   step-time 0.09s  loss 39.576 ppl 501.50
Epoch(64)   step-time 0.08s  loss 45.320 ppl 525.58
Epoch(65)   step-time 0.08s  loss 43.730 ppl 451.62
Epoch(66)   step-time 0.08s  loss 42.401 ppl 462.67
Epoch(67)   step-time 0.08s  loss 40.163 ppl 428.63
Epoch(68)   step-time 0.08s  loss 40.210 ppl 441.28
Epoch(69)   step-time 0.08s  loss 39.133 ppl 431.75
Epoch(70)   step-time 0.08s  loss 38.944 ppl 394.75
Epoch(71)   step-time 0.07s  loss 36.387 ppl 406.72
Epoch(72)   step-time 0.07s  loss 35.533 ppl 383.62
Epoch(73)   step-time 0.07s  loss 36.589 ppl 373.31
Epoch(74)   step-time 0.07s  loss 37.710 ppl 343.10
Epoch(75)   step-time 0.07s  loss 33.365 ppl 341.38
Epoch(76)   step-time 0.07s  loss 33.557 ppl 342.43
Epoch(77)   step-time 0.07s  loss 32.010 ppl 312.72
Epoch(78)   step-time 0.07s  loss 34.337 ppl 305.78
Epoch(79)   step-time 0.07s  loss 32.855 ppl 300.23
Epoch(80)   step-time 0.07s  loss 30.472 ppl 282.29
Epoch(81)   step-time 0.07s  loss 32.584 ppl 298.99
Epoch(82)   step-time 0.06s  loss 30.848 ppl 286.85
Epoch(83)   step-time 0.06s  loss 29.861 ppl 275.91
Epoch(84)   step-time 0.06s  loss 30.561 ppl 265.28
Epoch(85)   step-time 0.06s  loss 28.452 ppl 259.73
Epoch(86)   step-time 0.06s  loss 27.092 ppl 246.69
Epoch(87)   step-time 0.06s  loss 30.736 ppl 245.20
Epoch(88)   step-time 0.06s  loss 27.714 ppl 225.81
Epoch(89)   step-time 0.06s  loss 25.803 ppl 240.04
Epoch(90)   step-time 0.06s  loss 26.484 ppl 230.90
Epoch(91)   step-time 0.06s  loss 27.291 ppl 221.15
Epoch(92)   step-time 0.06s  loss 27.063 ppl 211.52
Epoch(93)   step-time 0.06s  loss 25.058 ppl 204.50
Epoch(94)   step-time 0.06s  loss 24.252 ppl 195.81
Epoch(95)   step-time 0.06s  loss 25.406 ppl 198.91
Epoch(96)   step-time 0.05s  loss 25.907 ppl 194.25
Epoch(97)   step-time 0.05s  loss 25.143 ppl 183.34
Epoch(98)   step-time 0.05s  loss 22.504 ppl 175.00
Epoch(99)   step-time 0.05s  loss 23.892 ppl 176.93
Epoch(100)   step-time 0.05s  loss 22.664 ppl 172.59
Epoch(101)   step-time 0.05s  loss 23.571 ppl 167.28
